SurveySeason,Region,NetType,CommonName,Core_Survey,Month,SurveyCategory,N_Fish,Length_Mean,Length_SD,Length_Min,Length_Q1,Length_Q5,Length_Q25,Length_Median,Length_Q75,Length_Q95,Length_Q99,Length_Max
SKT,South,Pelagic Trawl,Delta_Smelt,TRUE,5,CDFW,8,73,5,61,62,64,72,74,75,77,78,78
SKT,South,Pelagic Trawl,Inland_Silverside,TRUE,1,CDFW,2729,77,13,30,40,54,69,78,86,96,111,111
SKT,South,Pelagic Trawl,Inland_Silverside,TRUE,2,CDFW,1160,75,11,45,53,57,67,75,83,92,96,105
SKT,South,Pelagic Trawl,Inland_Silverside,TRUE,3,CDFW,340,78,9,49,53,62,72,78,84,92,96,101
SKT,South,Pelagic Trawl,Inland_Silverside,TRUE,4,CDFW,95,79,12,45,49,61,73,80,86,95,102,105
SKT,South,Pelagic Trawl,Inland_Silverside,TRUE,5,CDFW,7,87,7,74,74,76,82,89,92,94,94,94
SKT,South,Pelagic Trawl,Longfin_Smelt,TRUE,4,CDFW,5,28,3,24,24,25,27,28,31,31,31,31
SKT,South,Pelagic Trawl,Pacific_Herring,TRUE,4,CDFW,4,32,5,27,27,27,28,31,34,37,38,38
SKT,South,Pelagic Trawl,Pacific_Herring,TRUE,5,CDFW,6,44,8,32,32,33,39,46,48,53,54,54
SKT,South,Pelagic Trawl,Shimofuri_Goby,TRUE,1,CDFW,2,52,7,47,47,48,50,52,54,56,57,57
SKT,South,Pelagic Trawl,Shimofuri_Goby,TRUE,2,CDFW,5,51,9,41,41,42,46,50,53,63,65,65
SKT,South,Pelagic Trawl,Splittail,TRUE,2,CDFW,3,172,142,72,73,76,91,110,222,312,330,335
SKT,South,Pelagic Trawl,Splittail,TRUE,5,CDFW,2,128,152,20,22,31,74,128,181,224,233,235
SKT,South,Pelagic Trawl,Steelhead,TRUE,1,CDFW,3,230,16,219,219,219,221,223,236,246,248,248
SKT,South,Pelagic Trawl,Steelhead,TRUE,2,CDFW,70,214,28,153,162,172,190,220,232,258,275,276
SKT,South,Pelagic Trawl,Steelhead,TRUE,3,CDFW,60,228,24,175,177,192,210,229,245,260,280,296
SKT,South,Pelagic Trawl,Steelhead,TRUE,4,CDFW,8,246,19,218,218,220,236,244,255,272,275,276
SKT,South,Pelagic Trawl,Steelhead,TRUE,5,CDFW,3,296,91,232,232,234,244,256,328,386,397,400
SKT,South,Pelagic Trawl,Striped_Bass,TRUE,1,CDFW,3,178,67,106,108,114,146,187,214,235,239,240
SKT,South,Pelagic Trawl,Striped_Bass,TRUE,2,CDFW,4,292,173,117,121,137,217,260,335,491,522,530
SKT,South,Pelagic Trawl,Striped_Bass,TRUE,3,CDFW,3,83,13,68,68,70,78,88,90,92,92,92
SKT,South,Pelagic Trawl,Threadfin_Shad,TRUE,1,CDFW,14624,75,11,46,58,61,68,73,81,89,114,157
SKT,South,Pelagic Trawl,Threadfin_Shad,TRUE,2,CDFW,1820,78,15,52,54,59,67,75,86,108,122,160
SKT,South,Pelagic Trawl,Threadfin_Shad,TRUE,3,CDFW,318,85,16,54,54,60,74,86,96,109,125,150
SKT,South,Pelagic Trawl,Threadfin_Shad,TRUE,4,CDFW,31,88,20,62,63,66,74,81,96,120,135,141
SKT,South,Pelagic Trawl,Threadfin_Shad,TRUE,5,CDFW,7,85,27,27,31,45,88,89,98,105,106,106
SKT,South,Pelagic Trawl,White_Catfish,TRUE,1,CDFW,3,238,41,198,199,202,217,236,258,276,279,280
SKT,South,Pelagic Trawl,White_Catfish,TRUE,3,CDFW,2,191,25,173,173,175,182,191,200,207,209,209
SKT,South,Pelagic Trawl,White_Catfish,TRUE,4,CDFW,2,141,122,55,57,64,98,141,184,218,225,227
SKT,South,Pelagic Trawl,White_Catfish,TRUE,5,CDFW,2,320,141,220,222,230,270,320,370,410,418,420
SKT,NA,Pelagic Trawl,Chinook_Salmon,TRUE,1,CDFW,2,119,11,111,111,112,115,119,123,126,127,127
SKT,NA,Pelagic Trawl,Chinook_Salmon,TRUE,3,CDFW,21,79,28,40,40,42,65,75,96,110,153,164
SKT,NA,Pelagic Trawl,Chinook_Salmon,TRUE,4,CDFW,44,79,11,48,55,67,73,80,84,90,113,113
SKT,NA,Pelagic Trawl,Chinook_Salmon,TRUE,5,CDFW,56,71,10,54,54,57,63,72,78,85,93,94
SKT,NA,Pelagic Trawl,Delta_Smelt,TRUE,3,CDFW,10,72,2,70,70,70,70,71,72,75,75,75
SKT,NA,Pelagic Trawl,Delta_Smelt,TRUE,4,CDFW,3,68,3,65,65,66,68,70,70,70,70,70
SLS,Far West,Pelagic Trawl,Chinook_Salmon,TRUE,2,CDFW,2,40,7,35,35,36,38,40,42,44,45,45
SLS,Far West,Pelagic Trawl,Delta_Smelt,TRUE,3,CDFW,13,6,1,5,5,5,6,6,7,7,7,7
SLS,Far West,Pelagic Trawl,Longfin_Smelt,TRUE,1,CDFW,2095,7,1,4,5,6,6,7,8,9,10,13
SLS,Far West,Pelagic Trawl,Longfin_Smelt,TRUE,2,CDFW,9466,8,2,5,5,6,7,8,9,12,14,20
SLS,Far West,Pelagic Trawl,Longfin_Smelt,TRUE,3,CDFW,1960,9,3,5,5,6,7,9,10,15,17,21
SLS,Far West,Pelagic Trawl,Northern_Anchovy,TRUE,1,CDFW,82,27,7,11,12,16,22,26,32,39,43,43
SLS,Far West,Pelagic Trawl,Northern_Anchovy,TRUE,2,CDFW,99,21,8,4,4,6,18,22,26,35,38,46
SLS,Far West,Pelagic Trawl,Northern_Anchovy,TRUE,3,CDFW,130,13,11,4,4,4,5,7,24,34,37,37
SLS,Far West,Pelagic Trawl,Pacific_Herring,TRUE,1,CDFW,48253,11,2,5,8,8,10,11,12,16,18,20
SLS,Far West,Pelagic Trawl,Pacific_Herring,TRUE,2,CDFW,266609,12,3,7,8,8,10,11,13,18,20,34
SLS,Far West,Pelagic Trawl,Pacific_Herring,TRUE,3,CDFW,14847,15,4,7,8,9,12,14,18,22,24,35
SLS,Far West,Pelagic Trawl,Shimofuri_Goby,TRUE,2,CDFW,2,86,29,65,65,67,75,86,96,104,106,106
SLS,Far West,Pelagic Trawl,Shokihaze_Goby,TRUE,1,CDFW,3,67,44,38,38,39,42,46,82,111,117,118
SLS,West,Pelagic Trawl,Chinook_Salmon,TRUE,2,CDFW,6,36,2,34,34,34,35,36,38,38,38,38
SLS,West,Pelagic Trawl,Chinook_Salmon,TRUE,3,CDFW,4,40,7,34,34,34,36,38,42,49,51,51
SLS,West,Pelagic Trawl,Delta_Smelt,TRUE,1,CDFW,7,71,6,62,62,64,68,71,74,78,80,80
SLS,West,Pelagic Trawl,Delta_Smelt,TRUE,2,CDFW,7,63,6,53,53,55,62,66,67,68,68,68
SLS,West,Pelagic Trawl,Delta_Smelt,TRUE,3,CDFW,211,7,6,5,5,5,5,6,7,8,10,65
SLS,West,Pelagic Trawl,Inland_Silverside,TRUE,1,CDFW,2,68,19,55,55,56,62,68,75,81,82,82
SLS,West,Pelagic Trawl,Longfin_Smelt,TRUE,1,CDFW,13719,7,1,5,5,5,6,7,8,9,10,77
SLS,West,Pelagic Trawl,Longfin_Smelt,TRUE,2,CDFW,30296,8,2,4,5,5,6,7,9,11,16,21
SLS,West,Pelagic Trawl,Longfin_Smelt,TRUE,3,CDFW,12186,9,3,4,5,6,7,9,11,15,19,30
SLS,West,Pelagic Trawl,Northern_Anchovy,TRUE,1,CDFW,11,26,5,19,19,20,22,26,30,32,33,33
SLS,West,Pelagic Trawl,Northern_Anchovy,TRUE,2,CDFW,2,18,21,4,4,5,11,18,26,32,33,33
SLS,West,Pelagic Trawl,Northern_Anchovy,TRUE,3,CDFW,83,6,3,4,4,4,5,6,6,8,13,34
SLS,West,Pelagic Trawl,Pacific_Herring,TRUE,1,CDFW,31562,11,1,4,8,9,10,11,11,13,16,21
SLS,West,Pelagic Trawl,Pacific_Herring,TRUE,2,CDFW,83103,11,2,5,8,9,10,11,12,15,17,23
SLS,West,Pelagic Trawl,Pacific_Herring,TRUE,3,CDFW,11001,12,3,7,9,9,10,11,13,19,20,29
SLS,West,Pelagic Trawl,Shimofuri_Goby,TRUE,3,CDFW,4,62,7,52,52,54,60,64,66,68,68,68
SLS,West,Pelagic Trawl,Shokihaze_Goby,TRUE,1,CDFW,17,27,3,21,21,22,24,27,29,30,32,32
SLS,West,Pelagic Trawl,Shokihaze_Goby,TRUE,3,CDFW,4,57,13,43,43,44,48,57,66,70,71,71
SLS,West,Pelagic Trawl,Splittail,TRUE,2,CDFW,2,8,1,7,7,7,7,8,8,8,8,8
SLS,West,Pelagic Trawl,Striped_Bass,TRUE,1,CDFW,2,120,4,118,118,118,119,120,122,123,123,123
SLS,West,Pelagic Trawl,Striped_Bass,TRUE,3,CDFW,10,6,0,5,5,5,5,6,6,6,6,6
SLS,West,Pelagic Trawl,Threadfin_Shad,TRUE,1,CDFW,2,72,19,58,58,59,65,72,78,84,85,85
SLS,West,Pelagic Trawl,White_Sturgeon,TRUE,3,CDFW,2,14,1,13,13,13,13,14,14,14,14,14
SLS,North,Pelagic Trawl,Chinook_Salmon,TRUE,1,CDFW,3,34,1,33,33,33,34,34,34,35,35,35
SLS,North,Pelagic Trawl,Chinook_Salmon,TRUE,3,CDFW,2,36,4,33,33,33,34,36,37,38,38,38
SLS,North,Pelagic Trawl,Delta_Smelt,TRUE,3,CDFW,164,6,1,5,5,5,5,6,7,7,7,10
SLS,North,Pelagic Trawl,Longfin_Smelt,TRUE,1,CDFW,2232,7,1,5,5,5,6,6,7,8,9,10
SLS,North,Pelagic Trawl,Longfin_Smelt,TRUE,2,CDFW,5881,7,1,4,5,5,6,7,8,9,10,17
SLS,North,Pelagic Trawl,Longfin_Smelt,TRUE,3,CDFW,519,8,3,5,5,5,6,7,9,14,17,17
SLS,North,Pelagic Trawl,Pacific_Herring,TRUE,1,CDFW,4936,10,1,9,9,9,10,10,11,12,12,12
SLS,North,Pelagic Trawl,Pacific_Herring,TRUE,2,CDFW,1503,11,1,8,9,9,10,11,13,14,14,14
SLS,North,Pelagic Trawl,Shimofuri_Goby,TRUE,1,CDFW,3,72,11,63,63,64,66,69,77,83,85,85
SLS,North,Pelagic Trawl,Shimofuri_Goby,TRUE,3,CDFW,2,64,28,45,45,47,55,64,74,82,84,84
SLS,North,Pelagic Trawl,Striped_Bass,TRUE,3,CDFW,16,6,1,4,4,4,5,6,6,7,7,7
SLS,North,Pelagic Trawl,White_Catfish,TRUE,2,CDFW,18,62,11,44,44,45,56,60,70,78,84,85
SLS,North,Pelagic Trawl,White_Catfish,TRUE,3,CDFW,3,88,71,38,38,40,48,57,114,159,168,170
SLS,North,Pelagic Trawl,White_Sturgeon,TRUE,3,CDFW,4,12,1,11,11,11,11,12,12,12,12,12
SLS,South,Pelagic Trawl,Delta_Smelt,TRUE,1,CDFW,2,74,6,69,69,69,71,74,76,78,78,78
SLS,South,Pelagic Trawl,Delta_Smelt,TRUE,3,CDFW,73,6,1,5,5,5,6,6,7,8,9,11
SLS,South,Pelagic Trawl,Inland_Silverside,TRUE,1,CDFW,3,51,13,41,41,42,44,46,56,63,65,65
SLS,South,Pelagic Trawl,Longfin_Smelt,TRUE,1,CDFW,1419,7,1,5,5,5,6,7,8,8,9,10
SLS,South,Pelagic Trawl,Longfin_Smelt,TRUE,2,CDFW,1699,7,1,5,5,5,6,7,8,10,12,14
SLS,South,Pelagic Trawl,Longfin_Smelt,TRUE,3,CDFW,319,9,3,5,5,6,7,8,10,14,17,18
SLS,South,Pelagic Trawl,Pacific_Herring,TRUE,1,CDFW,361,10,1,7,8,8,9,10,11,12,12,12
SLS,South,Pelagic Trawl,Pacific_Herring,TRUE,2,CDFW,867,11,1,9,10,10,10,11,12,13,16,19
SLS,South,Pelagic Trawl,Pacific_Herring,TRUE,3,CDFW,3,12,2,10,10,10,10,11,12,14,14,14
SLS,South,Pelagic Trawl,Shimofuri_Goby,TRUE,1,CDFW,2,68,14,58,58,59,63,68,73,77,78,78
SLS,South,Pelagic Trawl,Shimofuri_Goby,TRUE,2,CDFW,8,60,21,39,40,42,50,54,63,94,102,104
SLS,South,Pelagic Trawl,Shimofuri_Goby,TRUE,3,CDFW,2,51,6,47,47,47,49,51,53,55,55,55
SLS,South,Pelagic Trawl,Splittail,TRUE,2,CDFW,4,8,1,7,7,7,7,8,8,8,8,8
SLS,South,Pelagic Trawl,Striped_Bass,TRUE,3,CDFW,17,6,1,3,3,4,5,6,6,7,7,7
SLS,South,Pelagic Trawl,White_Catfish,TRUE,1,CDFW,38,92,45,52,52,53,62,70,114,194,216,220
SLS,South,Pelagic Trawl,White_Catfish,TRUE,2,CDFW,30,74,46,39,42,50,59,67,74,87,246,310
SLS,South,Pelagic Trawl,White_Catfish,TRUE,3,CDFW,3,56,12,45,45,46,50,55,62,67,68,68
STN,Far West,Pelagic Trawl,American_Shad,TRUE,6,CDFW,3,24,3,21,21,21,23,25,26,26,26,26
STN,Far West,Pelagic Trawl,American_Shad,TRUE,7,CDFW,13,53,28,21,23,29,42,44,61,96,130,138
STN,Far West,Pelagic Trawl,American_Shad,TRUE,8,CDFW,15,66,8,54,55,57,62,64,68,80,81,81
STN,Far West,Pelagic Trawl,Chinook_Salmon,TRUE,6,CDFW,4,83,7,73,73,75,82,85,86,88,88,88
STN,Far West,Pelagic Trawl,Delta_Smelt,TRUE,6,CDFW,60,32,8,21,22,22,26,30,36,48,52,56
STN,Far West,Pelagic Trawl,Delta_Smelt,TRUE,7,CDFW,78,40,9,11,15,26,35,40,46,51,55,57
STN,Far West,Pelagic Trawl,Delta_Smelt,TRUE,8,CDFW,23,49,8,26,29,40,44,52,55,59,60,60
STN,Far West,Pelagic Trawl,Inland_Silverside,TRUE,6,CDFW,13,46,9,25,26,30,41,47,52,56,59,60
STN,Far West,Pelagic Trawl,Inland_Silverside,TRUE,8,CDFW,4,44,6,41,41,41,41,42,46,52,53,53
STN,Far West,Pelagic Trawl,Longfin_Smelt,TRUE,6,CDFW,960,33,7,19,25,27,31,33,35,40,52,101
STN,Far West,Pelagic Trawl,Longfin_Smelt,TRUE,7,CDFW,237,36,6,22,28,30,33,36,39,45,52,89
STN,Far West,Pelagic Trawl,Longfin_Smelt,TRUE,8,CDFW,32,44,10,34,34,35,38,42,48,59,80,88
STN,Far West,Pelagic Trawl,Northern_Anchovy,TRUE,6,CDFW,592,50,18,11,26,30,34,44,65,84,93,125
STN,Far West,Pelagic Trawl,Northern_Anchovy,TRUE,7,CDFW,1160,46,21,11,14,20,30,38,67,80,90,104
STN,Far West,Pelagic Trawl,Northern_Anchovy,TRUE,8,CDFW,460,39,23,9,11,15,24,30,41,83,101,115
STN,Far West,Pelagic Trawl,Pacific_Herring,TRUE,6,CDFW,28,36,8,16,18,24,32,36,41,49,52,53
STN,Far West,Pelagic Trawl,Pacific_Herring,TRUE,7,CDFW,7,43,16,31,31,32,34,36,46,68,74,75
STN,Far West,Pelagic Trawl,Pacific_Herring,TRUE,8,CDFW,2,58,32,36,36,38,47,58,70,79,81,81
STN,Far West,Pelagic Trawl,Shimofuri_Goby,TRUE,6,CDFW,6,77,8,68,68,69,73,76,79,87,89,90
STN,Far West,Pelagic Trawl,Shimofuri_Goby,TRUE,7,CDFW,4,18,1,17,17,17,17,18,18,20,20,20
STN,Far West,Pelagic Trawl,Shokihaze_Goby,TRUE,7,CDFW,15,18,3,16,16,16,17,17,18,23,25,26
STN,Far West,Pelagic Trawl,Shokihaze_Goby,TRUE,8,CDFW,13,26,8,17,17,17,18,25,34,36,37,37
STN,Far West,Pelagic Trawl,Splittail,TRUE,6,CDFW,48,44,12,22,24,28,37,40,48,67,77,82
STN,Far West,Pelagic Trawl,Splittail,TRUE,7,CDFW,7,61,14,36,37,41,55,65,68,76,78,78
STN,Far West,Pelagic Trawl,Splittail,TRUE,8,CDFW,2,64,6,60,60,60,62,64,67,69,69,69
STN,Far West,Pelagic Trawl,Starry_Flounder,TRUE,6,CDFW,13,43,11,26,27,29,36,42,50,59,67,69
STN,Far West,Pelagic Trawl,Starry_Flounder,TRUE,7,CDFW,3,57,10,48,48,49,51,54,61,67,68,68
STN,Far West,Pelagic Trawl,Starry_Flounder,TRUE,8,CDFW,6,114,97,61,61,62,68,78,86,254,299,310
STN,Far West,Pelagic Trawl,Striped_Bass,TRUE,6,CDFW,218,26,9,8,9,12,19,25,30,41,50,57
STN,Far West,Pelagic Trawl,Striped_Bass,TRUE,7,CDFW,149,38,36,11,11,14,22,36,43,57,148,415
STN,Far West,Pelagic Trawl,Striped_Bass,TRUE,8,CDFW,23,70,18,39,39,40,60,73,80,87,110,117
STN,Far West,Pelagic Trawl,Threadfin_Shad,TRUE,7,CDFW,4,21,6,14,14,15,18,22,25,27,27,27
STN,Far West,Pelagic Trawl,Topsmelt,TRUE,6,CDFW,19,40,12,24,24,25,28,41,50,56,58,59
STN,Far West,Pelagic Trawl,Topsmelt,TRUE,7,CDFW,12,33,13,15,16,20,26,30,38,54,56,56
STN,Far West,Pelagic Trawl,Topsmelt,TRUE,8,CDFW,2,58,11,50,50,51,54,58,61,64,65,65
STN,Far West,Pelagic Trawl,Tridentiger_Spp.,TRUE,6,CDFW,20,14,2,11,11,11,13,14,15,16,17,17
STN,Far West,Pelagic Trawl,Tridentiger_Spp.,TRUE,7,CDFW,68,15,2,7,9,11,14,15,16,19,19,20
STN,Far West,Pelagic Trawl,Tridentiger_Spp.,TRUE,8,CDFW,108,14,2,8,10,11,13,14,15,17,17,18
STN,West,Pelagic Trawl,American_Shad,TRUE,6,CDFW,429,28,8,17,19,20,24,27,30,43,50,138
STN,West,Pelagic Trawl,American_Shad,TRUE,7,CDFW,1134,36,8,12,21,25,31,35,40,52,63,72
STN,West,Pelagic Trawl,American_Shad,TRUE,8,CDFW,421,45,12,21,25,28,35,44,53,67,72,85
STN,West,Pelagic Trawl,Chinook_Salmon,TRUE,6,CDFW,5,91,11,81,81,81,81,86,102,104,104,104
STN,West,Pelagic Trawl,Delta_Smelt,TRUE,6,CDFW,793,35,9,13,18,22,29,34,40,47,54,87
STN,West,Pelagic Trawl,Delta_Smelt,TRUE,7,CDFW,885,39,10,18,22,25,32,40,46,54,61,90
STN,West,Pelagic Trawl,Delta_Smelt,TRUE,8,CDFW,485,46,8,22,25,32,41,47,51,58,63,90
STN,West,Pelagic Trawl,Inland_Silverside,TRUE,6,CDFW,16,38,16,12,12,13,32,40,44,59,71,74
STN,West,Pelagic Trawl,Inland_Silverside,TRUE,7,CDFW,152,40,11,18,21,27,33,38,46,57,79,94
STN,West,Pelagic Trawl,Inland_Silverside,TRUE,8,CDFW,250,45,9,24,25,28,38,46,52,60,66,70
STN,West,Pelagic Trawl,Longfin_Smelt,TRUE,6,CDFW,1936,30,4,7,21,24,28,30,33,37,42,58
STN,West,Pelagic Trawl,Longfin_Smelt,TRUE,7,CDFW,261,35,7,19,22,27,32,34,37,43,55,102
STN,West,Pelagic Trawl,Longfin_Smelt,TRUE,8,CDFW,32,41,15,17,17,23,35,38,44,68,89,94
STN,West,Pelagic Trawl,Northern_Anchovy,TRUE,6,CDFW,435,41,14,9,19,26,31,36,52,68,76,85
STN,West,Pelagic Trawl,Northern_Anchovy,TRUE,7,CDFW,786,30,12,2,12,15,24,28,32,55,80,105
STN,West,Pelagic Trawl,Northern_Anchovy,TRUE,8,CDFW,1121,29,10,7,11,16,26,29,31,43,73,95
STN,West,Pelagic Trawl,Pacific_Herring,TRUE,6,CDFW,459,40,6,13,22,29,37,41,45,49,53,70
STN,West,Pelagic Trawl,Pacific_Herring,TRUE,7,CDFW,26,39,13,15,18,26,29,36,46,63,66,66
STN,West,Pelagic Trawl,Pacific_Herring,TRUE,8,CDFW,9,51,20,30,30,31,38,42,60,83,83,83
STN,West,Pelagic Trawl,Shimofuri_Goby,TRUE,6,CDFW,73,28,21,14,14,15,16,18,23,77,84,90
STN,West,Pelagic Trawl,Shimofuri_Goby,TRUE,7,CDFW,149,19,9,14,14,14,16,17,20,29,67,85
STN,West,Pelagic Trawl,Shimofuri_Goby,TRUE,8,CDFW,165,22,9,12,13,14,17,20,23,42,59,73
STN,West,Pelagic Trawl,Shokihaze_Goby,TRUE,6,CDFW,67,22,18,15,15,15,16,17,18,76,89,89
STN,West,Pelagic Trawl,Shokihaze_Goby,TRUE,7,CDFW,632,18,3,13,15,15,17,17,18,22,29,38
STN,West,Pelagic Trawl,Shokihaze_Goby,TRUE,8,CDFW,902,19,5,12,15,15,17,18,20,28,41,56
STN,West,Pelagic Trawl,Splittail,TRUE,6,CDFW,246,38,17,11,18,22,28,36,44,55,70,250
STN,West,Pelagic Trawl,Splittail,TRUE,7,CDFW,60,59,30,22,23,24,42,52,73,92,161,167
STN,West,Pelagic Trawl,Splittail,TRUE,8,CDFW,7,66,21,24,26,33,62,73,76,85,87,88
STN,West,Pelagic Trawl,Starry_Flounder,TRUE,6,CDFW,21,47,13,12,16,31,43,48,51,70,74,75
STN,West,Pelagic Trawl,Starry_Flounder,TRUE,7,CDFW,13,72,41,30,31,37,49,58,80,140,179,189
STN,West,Pelagic Trawl,Starry_Flounder,TRUE,8,CDFW,8,75,18,55,55,56,58,73,88,101,103,103
STN,West,Pelagic Trawl,Striped_Bass,TRUE,6,CDFW,6556,21,11,4,10,12,15,18,24,36,47,345
STN,West,Pelagic Trawl,Striped_Bass,TRUE,7,CDFW,3734,30,14,8,12,14,19,27,37,56,72,210
STN,West,Pelagic Trawl,Striped_Bass,TRUE,8,CDFW,871,47,27,10,12,16,30,44,61,82,105,345
STN,West,Pelagic Trawl,Threadfin_Shad,TRUE,6,CDFW,32,24,13,13,14,16,17,19,23,53,67,70
STN,West,Pelagic Trawl,Threadfin_Shad,TRUE,7,CDFW,117,28,12,10,11,15,19,24,32,52,67,74
STN,West,Pelagic Trawl,Threadfin_Shad,TRUE,8,CDFW,391,41,13,15,20,22,33,40,48,60,82,103
STN,West,Pelagic Trawl,Topsmelt,TRUE,6,CDFW,19,29,8,18,18,19,22,29,32,44,47,48
STN,West,Pelagic Trawl,Topsmelt,TRUE,7,CDFW,7,23,4,19,19,19,20,21,28,29,29,29
STN,West,Pelagic Trawl,Tridentiger_Spp.,TRUE,6,CDFW,3602,13,3,3,6,8,12,14,15,17,18,21
STN,West,Pelagic Trawl,Tridentiger_Spp.,TRUE,7,CDFW,11413,14,3,3,7,9,13,15,16,18,19,27
STN,West,Pelagic Trawl,Tridentiger_Spp.,TRUE,8,CDFW,4269,15,2,5,7,10,14,15,16,18,20,35
STN,West,Pelagic Trawl,White_Catfish,TRUE,6,CDFW,91,33,30,12,13,14,15,16,56,94,108,135
STN,West,Pelagic Trawl,White_Catfish,TRUE,7,CDFW,107,35,40,8,11,13,17,21,32,110,216,240
STN,West,Pelagic Trawl,White_Catfish,TRUE,8,CDFW,95,41,13,15,18,23,33,40,46,60,79,107
STN,North,Pelagic Trawl,American_Shad,TRUE,6,CDFW,259,28,7,12,16,19,23,27,33,40,44,60
STN,North,Pelagic Trawl,American_Shad,TRUE,7,CDFW,492,33,10,10,17,20,25,33,40,50,55,63
STN,North,Pelagic Trawl,American_Shad,TRUE,8,CDFW,284,36,12,14,20,21,27,34,42,59,63,100
STN,North,Pelagic Trawl,Delta_Smelt,TRUE,6,CDFW,411,32,8,17,19,21,27,31,36,44,58,82
STN,North,Pelagic Trawl,Delta_Smelt,TRUE,7,CDFW,104,39,11,20,21,23,30,38,45,56,61,66
STN,North,Pelagic Trawl,Delta_Smelt,TRUE,8,CDFW,69,45,7,22,29,36,40,45,50,57,59,59
STN,North,Pelagic Trawl,Inland_Silverside,TRUE,6,CDFW,116,28,10,15,15,19,23,27,30,37,79,84
STN,North,Pelagic Trawl,Inland_Silverside,TRUE,7,CDFW,335,34,9,11,15,20,27,34,39,47,53,65
STN,North,Pelagic Trawl,Inland_Silverside,TRUE,8,CDFW,322,41,7,20,21,27,38,42,45,53,57,64
STN,North,Pelagic Trawl,Longfin_Smelt,TRUE,6,CDFW,23,44,11,21,21,22,40,47,52,55,58,59
STN,North,Pelagic Trawl,Shimofuri_Goby,TRUE,6,CDFW,65,24,16,14,15,15,17,18,20,69,73,74
STN,North,Pelagic Trawl,Shimofuri_Goby,TRUE,7,CDFW,638,18,4,9,11,13,16,17,19,24,32,39
STN,North,Pelagic Trawl,Shimofuri_Goby,TRUE,8,CDFW,847,20,5,10,12,14,17,19,21,30,41,67
STN,North,Pelagic Trawl,Shokihaze_Goby,TRUE,6,CDFW,4,38,18,26,26,26,26,32,44,61,64,65
STN,North,Pelagic Trawl,Shokihaze_Goby,TRUE,7,CDFW,49,19,8,15,15,16,17,17,18,20,49,74
STN,North,Pelagic Trawl,Shokihaze_Goby,TRUE,8,CDFW,14,21,5,16,16,17,17,20,24,28,30,30
STN,North,Pelagic Trawl,Splittail,TRUE,6,CDFW,35,36,12,15,16,19,30,37,40,63,65,65
STN,North,Pelagic Trawl,Splittail,TRUE,7,CDFW,10,54,8,39,39,40,53,54,60,64,64,64
STN,North,Pelagic Trawl,Striped_Bass,TRUE,6,CDFW,417,21,19,10,10,12,15,18,24,38,44,350
STN,North,Pelagic Trawl,Striped_Bass,TRUE,7,CDFW,266,25,14,10,10,12,16,21,32,51,71,136
STN,North,Pelagic Trawl,Striped_Bass,TRUE,8,CDFW,26,38,20,14,15,17,22,30,54,78,82,82
STN,North,Pelagic Trawl,Threadfin_Shad,TRUE,6,CDFW,1419,20,5,9,11,13,17,19,22,26,40,80
STN,North,Pelagic Trawl,Threadfin_Shad,TRUE,7,CDFW,3233,23,6,7,13,15,19,21,25,34,43,57
STN,North,Pelagic Trawl,Threadfin_Shad,TRUE,8,CDFW,1230,28,11,10,13,17,21,24,34,50,55,60
STN,North,Pelagic Trawl,Tridentiger_Spp.,TRUE,6,CDFW,4275,13,3,4,6,8,11,14,15,17,19,22
STN,North,Pelagic Trawl,Tridentiger_Spp.,TRUE,7,CDFW,7104,14,2,6,9,11,13,14,15,17,18,32
STN,North,Pelagic Trawl,Tridentiger_Spp.,TRUE,8,CDFW,402,13,2,6,8,10,12,13,15,17,18,21
STN,North,Pelagic Trawl,White_Catfish,TRUE,6,CDFW,346,21,24,11,12,14,15,16,17,55,154,271
STN,North,Pelagic Trawl,White_Catfish,TRUE,7,CDFW,270,25,23,10,13,14,16,20,24,39,154,189
STN,North,Pelagic Trawl,White_Catfish,TRUE,8,CDFW,42,64,64,14,15,17,24,33,56,220,226,229
STN,South,Pelagic Trawl,American_Shad,TRUE,6,CDFW,23,18,2,15,15,15,17,18,19,22,24,24
STN,South,Pelagic Trawl,American_Shad,TRUE,7,CDFW,13,23,4,18,18,19,21,22,25,30,32,32
STN,South,Pelagic Trawl,American_Shad,TRUE,8,CDFW,14,32,9,21,21,22,26,31,35,48,52,53
STN,South,Pelagic Trawl,Delta_Smelt,TRUE,6,CDFW,23,31,12,22,22,24,26,28,30,42,73,82
STN,South,Pelagic Trawl,Inland_Silverside,TRUE,6,CDFW,11,28,6,20,20,20,23,29,30,37,39,39
STN,South,Pelagic Trawl,Inland_Silverside,TRUE,7,CDFW,81,32,7,20,21,22,27,32,36,46,50,50
STN,South,Pelagic Trawl,Inland_Silverside,TRUE,8,CDFW,13,37,14,21,21,22,26,29,50,58,61,62
STN,South,Pelagic Trawl,Shimofuri_Goby,TRUE,6,CDFW,8,20,8,13,13,14,15,15,27,33,34,34
STN,South,Pelagic Trawl,Shimofuri_Goby,TRUE,7,CDFW,36,20,8,14,14,15,16,17,20,39,48,52
STN,South,Pelagic Trawl,Shimofuri_Goby,TRUE,8,CDFW,3,32,9,25,25,25,26,28,35,41,42,42
STN,South,Pelagic Trawl,Shokihaze_Goby,TRUE,7,CDFW,3,20,7,15,15,15,16,17,22,27,28,28
