Site_Id,Date,Time,Water_Year,Latitude,Longitude,Region,Habitat,Tide,Temperature,Dissolved_Oxygen,Specific_Conductivity,Salinity,pH,Turbidity,Chlorophyll,Secchi,Fish_Net,Flowmeter_Change,K_Value,Flowmeter_Distance,Net_Mouth_Area,FishTowVolume,Adj_FishTowVolume,Start_Depth,End_Depth,American_Shad,Black_Bullhead,Black_Crappie,Bluegill_Sunfish,Brown_Bullhead,Chinook_Salmon,Common_Carp,Delta_Smelt,Goby_UNID,Golden_Shiner,Goldfish,Inland_Silverside,Jacksmelt,Largemouth_Bass,Longfin_Smelt,Minnow_UNID,Northern_Anchovy,Osmerid_UNID,Pacific_Herring,Pacific_Staghorn_Sculpin,Prickly_Sculpin,Rainwater_Killifish,Redear_Sunfish,Sacramento_Hitch,Sacramento_Pikeminnow,Sacramento_Splittail,Sacramento_Sucker,Shimofuri_Goby,Shokihaze_Goby,Starry_Flounder,Steelhead,Striped_Bass,Threadfin_Shad,Threespine_Stickleback,Tule_Perch,Wakasagi,Warmouth,Yellowfin_Goby
TPS0538.2020,2020-04-02,13:03,2020,38.178778,-122.003326,SuisunWest,Distributary,Early Ebb,10.91,10.14,1566,0.79,7.7,21.81,2.48,32,Mamou,21469,0.026873,576.936437,6.057,3494.503999,3494.503999,4,8,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,7,,,,,
TPS0469.2020,2020-04-02,12:46,2020,38.175573,-122.056177,SuisunWest,Distributary,Early Ebb,10.74,9.49,4684,2.52,7.6,35.72,3.19,30,Mamou,24457,0.026873,657.232961,6.057,3980.860045,3980.860045,9,18,3,,,,,,,,,,,1,,,,,,,,,,,,,,13,,,,,,,7,,,,,
TPS0468.2020,2020-04-02,12:10,2020,38.169223,-122.02861,SuisunWest,Distributary,Early Ebb,10.75,10.21,2926,1.52,7.7,18.94,4.9,42,Mamou,16572,0.026873,445.339356,6.057,2697.420479,2697.420479,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,
TPS0544.2020,2020-04-02,11:47,2020,38.198381,-122.052759,SuisunWest,Terminal,Early Ebb,11.02,8.05,4743,2.55,7.4,53.65,6.85,31,Mamou,22682,0.026873,609.533386,6.057,3691.943719,3691.943719,14,18,,,,,,,1,,,1,1,6,,,,,,,,,,,,,,5,1,,,,,,7,,,,,
TPS0460.2020,2020-04-02,11:11,2020,38.183107,-121.913029,SuisunEast,Distributary,Low Slack,9.46,10.65,2056,1.06,7.8,18.38,2.55,48,Mamou,21657,0.026873,581.988561,6.057,3525.104714,3525.104714,6,8,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,2,,,,,
TPS0473.2020,2020-04-02,10:58,2020,38.212468,-122.044984,SuisunWest,Terminal,High Slack,11.12,8.03,4847,2.61,7.4,35.48,5.56,25,Mamou,12092,0.026873,324.948316,6.057,1968.21195,1968.21195,6,6,9,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,10,,,,,
TPS0523.2020,2020-04-02,10:21,2020,38.206673,-121.923006,SuisunEast,Terminal,High Slack,9.4,10.09,3108,1.63,7.7,27.36,5.45,30,Mamou,22688,0.026873,609.694624,6.057,3692.920338,3692.920338,7,7,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,3,,,,,
TPS0545.2020,2020-04-02,10:13,2020,38.220723,-122.025238,SuisunWest,Terminal,High Slack,9.85,8.4,4633,2.49,7.6,29.34,5.1,30,Mamou,7951,0.026873,213.667223,6.057,1294.18237,1294.18237,6,7,,,,,,,,,,,,22,,,,,,,,,,,,,,3,,,,,,,5,,,,,
TPS0472.2020,2020-04-02,9:34,2020,38.221976,-122.029671,SuisunWest,Terminal,Late Flood,10.75,8.01,4765,2.59,7.5,33.38,5.25,28,Mamou,25721,0.026873,691.200433,6.057,4186.601023,4186.601023,6,5,2,,,,,,,,,,,6,,,,,,,,,,,,,,2,,,,,,,24,,,,,
TPS0399.2020,2021-12-01,14:41,2020,38.045355,-121.798464,SuisunEast,Shoal,High Slack,10.02,10.55,1359,0.69,7.9,7.02,1.3,75,Kodiak,19317,0.026873,519.105741,16.723,8681.005307,8681.005307,8,12,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0351.2020,2021-12-01,13:21,2020,38.077883,-121.940517,SuisunEast,Shoal,Late Flood,10.24,10.25,9227,5.06,7.7,19.77,1.4,50,Kodiak,21570,0.026873,579.65061,16.723,9693.497151,9693.497151,7,13,22,,,,,,,,,,,2,,,1,,,,,,,,,,,1,,,,,,1,5,,,,,
TPS0400.2020,2021-12-01,12:36,2020,38.075838,-121.960855,SuisunEast,Shoal,Late Flood,10.16,10.31,8781,4.92,7.7,16.43,1.07,45,Kodiak,20206,0.026873,542.995838,16.723,9080.519399,9080.519399,34,13,15,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,
TPS0420.2020,2021-12-01,11:46,2020,38.113684,-121.998405,SuisunWest,Shoal,Late Flood,10,10.36,10348,5.86,7.8,11.96,1.03,45,Kodiak,14775,0.026873,397.048575,16.723,6639.84332,6639.84332,4,2,7,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,2,,,,,
TPS0360.2020,2021-12-01,10:50,2020,38.135855,-122.039913,SuisunWest,Shoal,Late Flood,9.64,11.64,10782,6.12,8.2,14.88,10.7,40,Kodiak,14794,0.026873,397.559162,16.723,6648.381866,6648.381866,4,6,24,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,2,1,,,,,
TPS0421.2020,2021-12-01,9:59,2020,38.072902,-122.066166,SuisunWest,Shoal,Early Flood,10.01,10.18,12857,7.46,7.7,9.88,1.58,55,Kodiak,11736,0.026873,315.381528,16.723,5274.125293,5274.125293,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0346.2020,2021-11-01,14:23,2020,38.036927,-121.785285,SuisunEast,Shoal,Early Ebb,9.6,10.59,1653,0.85,7.8,8.55,1.81,80,Mamou,17138,0.026873,460.549474,6.057,2789.548164,2789.548164,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0347.2020,2021-11-01,12:59,2020,38.059108,-121.919903,SuisunEast,Shoal,Late Flood,10.05,10.51,6152,3.35,7.8,11.55,1.2,51,Mamou,9677,0.026873,260.050021,6.057,1575.122977,1575.122977,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
TPS0355.2020,2021-11-01,11:49,2020,38.130639,-121.996627,SuisunWest,Shoal,Late Flood,9.45,12.4,11149,6.36,8.2,7.76,8.96,68,Mamou,11047,0.026873,296.866031,6.057,1798.11755,1798.11755,16,10,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0427.2020b,2021-11-01,10:58,2020,38.128045,-122.081219,SuisunWest,Distributary,Late Flood,9.49,10.15,9145,5.16,7.7,48.36,2.66,25,Mamou,11300,0.026873,303.6649,6.057,1839.298299,1839.298299,18,12,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,7,,,,,
TPS0356.2020,2021-11-01,10:17,2020,38.104123,-122.069143,SuisunWest,Shoal,Late Flood,9.63,10.17,11998,6.87,7.7,34.47,2.86,25,Mamou,22057,0.026873,592.737761,6.057,3590.212618,3590.212618,8,9,10,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,8,,,,,
TPS0428.2020,2021-11-01,9:21,2020,38.181156,-121.998734,SuisunWest,Distributary,Early Flood,9.62,10.15,2674,1.39,7.7,20.92,2.57,32,Mamou,19475,0.026873,523.351675,6.057,3169.941095,3169.941095,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,12,,,,,
TPS0407.2020,2021-11-01,8:32,2020,38.168593,-121.934406,SuisunEast,Distributary,Early Flood,9.41,10.32,2199,1.19,7.7,21.67,2.11,40,Mamou,20709,0.026873,556.512957,6.057,3370.798981,3370.798981,7,8,,,,,,,,,,1,,3,,,,,,,,,,,,,,3,,,,,,,2,,,,,
TPS0406.2020,2021-11-01,,2020,38.062779,-121.91909,SuisunEast,Distributary,High Slack,9.78,10.55,1625,0.82,7.8,5.88,2.01,100,Mamou,,0.026873,,6.057,,3433.57793,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0427.2020a,2021-10-01,15:15,2020,38.131787,-122.081521,SuisunWest,Distributary,Late Ebb,9.94,9.94,8946,5.04,7.7,79.6,3.38,20,Mamou,21237,0.026873,570.701901,6.057,3456.741414,3456.741414,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,5,7,,,,,
TPS0361.2020,2021-10-01,14:18,2020,38.197995,-122.051341,SuisunWest,Terminal,Early Ebb,10.28,8.41,5462,2.97,7.6,46.39,22.61,27,Mamou,16886,0.026873,453.777478,6.057,2748.530184,2748.530184,6,8,1,,,,,,,,,,,9,,,,,,,,,,,,,,7,,,,,,,22,,,,,
TPS0362.2020,2021-10-01,13:29,2020,38.208811,-122.033548,SuisunWest,Terminal,Early Ebb,9.2,9.03,5358,2.9,7.6,38.82,6.31,23,Mamou,19070,0.026873,512.46811,6.057,3104.019342,3104.019342,7,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,
TPS0435.2020,2021-10-01,12:50,2020,38.227486,-122.032647,SuisunWest,Terminal,Early Ebb,9.5,8.33,5046,2.72,7.6,34.22,9.15,24,Mamou,15656,0.026873,420.723688,6.057,2548.323378,2548.323378,17,21,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,22,,,,,
TPS0363.2020,2021-10-01,12:02,2020,38.234657,-122.031151,SuisunWest,Terminal,High Slack,9.45,8.49,4629,2.49,7.7,3.21,9.27,27,Mamou,14131,0.026873,379.742363,6.057,2300.099493,2300.099493,11,5,,,,,,,,,,,,6,,,,,,,,,,,,,,4,,,,,,,30,,,,,1
TPS0437.2020,2021-10-01,11:08,2020,38.222656,-122.023076,SuisunWest,Terminal,Late Flood,9.1,8.6,5239,2.83,7.6,44.8,8.45,26,Mamou,11374,0.026873,305.653502,6.057,1851.343262,1851.343262,11,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,1
TPS0359.2020,2021-10-01,9:58,2020,38.158827,-122.056899,SuisunWest,Distributary,Early Flood,9.2,10.12,8132,4.53,7.7,29.3,2.73,50,Mamou,25323,0.026873,680.504979,6.057,4121.818658,4121.818658,6,4,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,,,,,
TPS0350.2020,2021-09-01,15:51,2020,38.039044,-121.850466,SuisunEast,Distributary,Early Ebb,9.3,10.61,5148,2.78,7.8,13.1,1.54,55,Mamou,,0.026873,,6.057,,3147.446436,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0354.2020,2021-09-01,14:55,2020,38.043787,-121.9311,SuisunEast,Terminal,Early Ebb,9.4,10.55,7993,4.45,7.7,11.12,1.34,55,Mamou,24053,0.026873,646.376269,6.057,3915.101061,3915.101061,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
TPS0414.2020,2021-09-01,13:21,2020,38.044554,-121.960268,SuisunEast,Terminal,Late Flood,9.8,10.51,7076,3.65,7.7,9.02,0.99,60,Mamou,18798,0.026873,505.158654,6.057,3059.745967,3059.745967,36,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0349.2020,2021-09-01,11:50,2020,38.155896,-121.922358,SuisunEast,Distributary,,9.2,10.54,2125,1.09,7.8,13.89,2.6,45,Mamou,14435,0.026873,387.911755,6.057,2349.5815,2349.5815,35,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0348.2020,2021-09-01,10:54,2020,38.170844,-121.957044,SuisunEast,Distributary,Late Flood,8.97,10.36,2562,1.33,7.7,22.42,3.11,40,Mamou,,0.026873,,6.057,,2861.314941,10,8,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,10,,,,,
TPS0413.2020,2021-09-01,9:56,2020,38.20178,-121.921061,SuisunEast,Terminal,Late Flood,8.37,9.77,3899,2.37,7.5,16.82,4.53,40,Mamou,17006,0.026873,457.002238,6.057,2768.062556,2768.062556,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0306.2020,2020-09-01,13:52,2020,38.043493,-121.960231,SuisunEast,Terminal,Early Ebb,9.97,9.92,8832,4.86,7.7,10.43,1.37,60,Mamou,18702,0.026873,502.578846,6.057,3044.12007,3044.12007,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0243.2020,2020-09-01,12:46,2020,38.043581,-121.963023,SuisunEast,Terminal,Early Ebb,10.13,10,10927,6.2,7.7,9.99,1.2,69,Mamou,990300,0.026873,26612.3319,6.057,,2861.314941,8,7,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,
TPS0298.2020,2020-09-01,12:07,2020,38.075784,-121.967034,SuisunEast,Distributary,High Slack,10.04,10,9949,5.66,7.8,13.6,2.03,57,Mamou,19460,0.026873,522.94858,6.057,3167.499549,3167.499549,8,8,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,
TPS0246.2020,2020-09-01,11:29,2020,38.068827,-122.026861,SuisunWest,Shoal,High Slack,10.25,9.9,14401,8.3,7.8,8.35,0.93,82,Mamou,19402,0.026873,521.389946,6.057,3158.058903,3158.058903,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0310.2020,2020-09-01,10:44,2020,38.081774,-122.048927,SuisunWest,Shoal,Late Flood,10.55,9.63,19207,11.43,7.7,18,1.5,52,Mamou,24942,0.026873,670.266366,6.057,4059.803379,4059.803379,8,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0247.2020,2020-09-01,9:58,2020,38.121778,-122.066567,SuisunWest,Distributary,Late Flood,10.17,9.75,13695,7.92,7.6,23.73,1.29,38,Mamou,22339,0.026873,600.315947,6.057,3636.113691,3636.113691,10,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
TPS0318.2020,2020-09-01,9:06,2020,38.179183,-122.001049,SuisunWest,Distributary,Late Flood,9.87,8.8,9104,5.12,7.5,31.32,2.96,29,Mamou,21691,0.026873,582.902243,6.057,3530.638886,3530.638886,7,8,3,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,1,12,,,,,
TPS0248.2020,2020-09-01,8:31,2020,38.178325,-122.011387,SuisunWest,Distributary,Late Flood,9.81,8.45,8979,5.03,7.4,26.5,2.74,30,Mamou,17084,0.026873,459.098332,6.057,2780.758597,2780.758597,8,10,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,9,,,,,
TPS0289.2020,2020-08-01,15:11,2020,38.053429,-121.797467,SuisunEast,Shoal,High Slack,9.9,10.35,2868,1.5,7.9,7.35,0.64,74,Kodiak,14884,0.026873,399.977732,16.723,6688.827612,6688.827612,13,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
TPS0250.2020,2020-08-01,14:00,2020,38.090605,-122.00636,SuisunWest,Shoal,Early Ebb,10.45,9.75,15007,8.76,7.7,12.47,1.83,53,Kodiak,17671,0.026873,474.872783,16.723,7941.29755,7941.29755,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
TPS0245.2020,2020-08-01,12:51,2020,38.138626,-122.013449,SuisunWest,Shoal,Early Ebb,9.9,11.27,11067,6.3,8.1,19.8,16.9,23,Kodiak,15189,0.026873,408.173997,16.723,6825.893752,6825.893752,4,8,62,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,6,51,,,2,,
TPS0311.2020,2020-08-01,11:55,2020,38.137224,-122.027191,SuisunWest,Shoal,Late Flood,9.63,10.78,11352,6.47,7.9,18.92,21.9,35,Kodiak,12005,0.026873,322.610365,16.723,5395.013134,5395.013134,7,7,70,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,2,,2,30,,,,,
TPS0290.2020,2020-08-01,10:54,2020,38.076317,-121.947306,SuisunEast,Shoal,Late Flood,10.05,9.91,11195,6.37,7.5,18.4,1.01,45,Kodiak,15962,0.026873,428.946826,16.723,7173.277771,7173.277771,10,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
TPS0237.2020,2020-08-01,9:58,2020,38.074125,-121.965953,SuisunEast,Shoal,Early Flood,10.04,9.81,11012,6.28,7.4,19.54,1.09,55,Kodiak,14121,0.026873,379.473633,16.723,6345.937565,6345.937565,9,12,19,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,8,3,,,,,2
TPS0249.2020,2020-07-01,15:49,2020,38.18934,-122.0476,SuisunWest,Distributary,Early Ebb,9.88,7.08,7284,4.02,7.3,49.16,4.75,25,Mamou,13419,0.026873,360.608787,6.057,2184.207423,2184.207423,8,8,2,,,,,,1,,,,,1,,,,,,,,,,,,,1,7,,,,,,5,10,,1,,,
TPS0324.2020,2020-07-01,15:05,2020,38.206142,-122.033228,SuisunWest,Terminal,Early Ebb,9.8,6.72,5883,3.2,7.3,52.86,5.41,18,Mamou,16609,0.026873,446.333657,6.057,2703.44296,2703.44296,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,11,,1,,,
TPS0239.2020,2020-07-01,15:02,2020,38.170514,-121.931303,SuisunEast,Distributary,Early Ebb,10.12,8.95,7849,4.36,7.4,33.55,6.92,29,Mamou,20286,0.026873,545.145678,6.057,3301.947372,3301.947372,8,8,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,7,,,,,
TPS0253.2020,2020-07-01,14:19,2020,38.230485,-122.02883,SuisunWest,Terminal,Early Ebb,9.1,7.22,4923,2.65,7.4,34.37,5.04,20,Mamou,21288,0.026873,572.072424,6.057,3465.042672,3465.042672,7,9,1,,,,,,,,,,,41,,,,,,,,,,,,,,1,,1,,,,,2,,2,,,1
TPS0240.2020,2020-07-01,14:03,2020,38.130936,-121.915309,SuisunEast,Distributary,Early Ebb,10.2,8.88,7886,4.38,7.4,17.12,6.85,47,Mamou,19143,0.026873,514.429839,6.057,3115.901535,3115.901535,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
TPS0252.2020,2020-07-01,13:35,2020,38.232069,-122.028338,SuisunWest,Terminal,High Slack,9.11,7.18,4911,2.64,7.5,37.72,4.88,21,Mamou,22863,0.026873,614.397399,6.057,3721.405046,3721.405046,14,11,,,,,,,,,,,1,66,,,,,,,,,,,,,,3,,,,,,,1,,1,,,
TPS0238.2020,2020-07-01,12:57,2020,38.073523,-121.878468,SuisunEast,Distributary,Late Flood,9.74,10.23,3578,1.88,7.7,16.68,1.74,63,Mamou,22236,0.026873,597.548028,6.057,3619.348406,3619.348406,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
TPS0325.2020,2020-07-01,12:44,2020,38.239429,-122.040032,SuisunWest,Terminal,High Slack,9.51,7.45,4888,2.63,7.5,20.49,5.43,33,Mamou,23374,0.026873,628.129502,6.057,3804.580394,3804.580394,9,8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,62,,,,,
TPS0317.2020,2020-07-01,11:32,2020,38.149683,-122.069265,SuisunWest,Distributary,Early Flood,9.8,8.5,10315,5.84,7.3,25.32,3.96,34,Mamou,21830,0.026873,586.63759,6.057,3553.263883,3553.263883,8,5,10,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,55,,,,,
TPS0244.2020,2020-07-01,11:32,2020,38.036716,-121.801479,SuisunEast,Terminal,Late Flood,9.01,11.18,574,0.28,8,2.21,1.33,205,Mamou,9618,0.026873,258.464514,6.057,1565.519561,1565.519561,5,5,,,,2,,,,,,,,,,2,,,,,,,,,4,,,,,,,,,,,,2,,,
TPS0251.2020,2020-07-01,10:41,2020,38.14561,-122.088414,SuisunWest,Terminal,Late Flood,9.66,9.24,10844,6.16,7.4,43.94,1.97,21,Mamou,20174,0.026873,542.135902,6.057,3283.717158,3283.717158,7,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
TPS0236.2020,2020-07-01,10:19,2020,38.036216,-121.791268,SuisunEast,Shoal,Late Flood,9.3,10.57,688,0.34,7.9,4.2,1.23,148,Mamou,15218,0.026873,408.953314,6.057,2477.030223,2477.030223,5,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0241.2020,2020-07-01,8:47,2020,38.064603,-121.95001,SuisunEast,Shoal,Early Flood,9.88,9.89,664,3.66,7.5,11.71,0.74,71,Mamou,20492,0.026873,550.681516,6.057,3335.477942,3335.477942,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
TPS0129.2020,2021-03-12,16:28,2020,38.042161,-121.821115,SuisunEast,Distributary,Early Ebb,10.23,9.45,2410,1.25,7.7,14.32,0.15,55,Mamou,14597,0.026873,392.265181,6.057,2375.950201,2375.950201,5,8,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0187.2020,2021-03-12,16:24,2020,38.039295,-121.817213,SuisunEast,Distributary,Early Ebb,10.24,9.81,2113,1.09,7.6,9.55,1.1,65,Mamou,25463,0.026873,684.267199,6.057,4144.606424,4144.606424,11,3,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0193.2020,2021-03-12,15:33,2020,38.04124,-121.946404,SuisunEast,Terminal,Early Ebb,10.61,9.49,7994,4.47,7.7,12.32,9.2,62,Mamou,11729,0.026873,315.193417,6.057,1909.126527,1909.126527,4,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0130.2020,2021-03-12,14:42,2020,38.179538,-121.916146,SuisunEast,Distributary,High Slack,9.9,8.91,8228,4.58,7.3,35.01,4.1,28,Mamou,24143,0.026873,648.794839,6.057,3929.75034,3929.75034,10,13,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,
TPS0180.2020a,2021-03-12,14:39,2020,38.080559,-121.923178,SuisunEast,Shoal,High Slack,10.38,9.67,6975,3.85,7.7,16.07,0.75,41,Mamou,20356,0.026873,547.026788,6.057,3313.341255,3313.341255,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0179.2020a,2021-03-12,13:55,2020,38.074847,-121.965939,SuisunEast,Shoal,Late Flood,10.24,9.71,10051,5.8,7.7,25.59,1.16,41,Mamou,20210,0.026873,543.10333,6.057,3289.57687,3289.57687,17,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
TPS0133.2020,2021-03-12,13:55,2020,38.198063,-121.911583,SuisunEast,Terminal,Late Flood,9.06,8.93,7749,4.29,7.3,26.15,5.21,28,Mamou,26540,0.026873,713.20942,6.057,4319.909457,4319.909457,9,10,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,29,,,,,
TPS0132.2020,2021-03-12,13:04,2020,38.176419,-121.91552,SuisunEast,Terminal,Late Flood,9.69,8.95,8103,4.51,7.3,33.37,4.14,25,Mamou,15634,0.026873,420.132482,6.057,2544.742443,2544.742443,10,10,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,
TPS0201.2020,2021-03-12,12:53,2020,38.129777,-122.001053,SuisunWest,Shoal,Late Flood,9.11,10.49,11411,6.48,7.8,21.01,7.05,40,Mamou,20200,0.026873,542.8346,6.057,3287.949172,3287.949172,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0200.2020,2021-03-12,12:12,2020,38.127662,-122.045108,SuisunWest,Shoal,Late Flood,10,9.66,12376,7.1,7.7,18.97,1.19,43,Mamou,21520,0.026873,578.30696,6.057,3502.805257,3502.805257,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
TPS0128.2020,2021-03-12,11:58,2020,38.173912,-121.956522,SuisunEast,Distributary,Late Flood,9.84,8.81,8260,4.6,7.3,16.73,4.2,23,Mamou,23739,0.026873,637.938147,6.057,3863.991356,3863.991356,6,7,,,,,,1,,,,,,9,,,,,,,,,,,,,,,,,,,,,28,1,,,,
TPS0207.2020,2021-03-12,11:13,2020,38.169538,-122.068627,SuisunWest,Distributary,Late Flood,9.74,9.03,10866,6.18,7.6,61.36,2.02,20,Mamou,7174,0.026873,192.786902,6.057,1167.710265,1167.710265,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,5,19,,,,,1
TPS0186.2020,2021-03-12,11:04,2020,38.152155,-121.918726,SuisunEast,Distributary,Early Flood,9.69,8.83,7945,4.41,7.3,28.21,4.33,31,Mamou,22219,0.026873,597.091187,6.057,3616.58132,3616.58132,6,7,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,20,,,,,
TPS0208.2020,2021-03-12,10:30,2020,38.162994,-122.044537,SuisunWest,Distributary,Early Flood,9.85,8.8,10768,6.12,7.4,27.25,2.31,32,Mamou,23207,0.026873,623.641711,6.057,3777.397844,3777.397844,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,23,,,,,
TPS0139.2020,2021-02-12,15:38,2020,38.170963,-122.034649,SuisunWest,Distributary,Early Ebb,10.17,9.47,12106,6.93,7.7,33.1,1.19,30,Mamou,21296,0.026873,572.287408,6.057,3466.34483,3466.34483,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,5,11,,,,,
TPS0137.2020,2021-02-12,14:48,2020,38.122472,-122.076649,SuisunWest,Distributary,Early Ebb,10.53,9.49,14043,8.14,7.7,19.33,1.03,30,Mamou,26394,0.026873,709.285962,6.057,4296.145072,4296.145072,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPS0138.2020,2021-02-12,14:06,2020,38.139592,-122.060316,SuisunWest,Distributary,High Slack,10.33,9.63,12460,7.16,7.7,21.15,1.08,35,Mamou,27773,0.026873,746.343829,6.057,4520.604572,4520.604572,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
TPS0143.2020,2021-02-12,13:09,2020,38.216517,-122.033603,SuisunWest,Terminal,Late Flood,9.61,7.46,7291,4.02,7.5,59.38,7.03,20,Mamou,24820,0.026873,666.98786,6.057,4039.945468,4039.945468,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,
TPS0142.2020,2021-02-12,12:08,2020,38.234788,-122.030295,SuisunWest,Terminal,Early Flood,9.51,7.43,5522,3,7.5,48.22,4.91,20,Mamou,26404,0.026873,709.554692,6.057,4297.772769,4297.772769,13,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,153,,,,,
TPS0215.2020,2021-02-12,10:51,2020,38.238364,-122.038163,SuisunWest,Terminal,Early Flood,8.81,7.56,5477,2.98,7.4,40.67,4.74,25,Mamou,29384,0.026873,789.636232,6.057,4782.826657,4782.826657,13,9,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,300,,,,,
TPS0214.2020,2021-02-12,9:45,2020,38.204931,-122.041605,SuisunWest,Terminal,Early Flood,9.23,7.41,6511,3.57,7.3,48.49,5.86,15,Mamou,4112,0.026873,110.501776,6.057,669.3092572,669.3092572,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,3,41,,,,,
