SurveySeason,StationCode,Year,SampleDate,TowNumber,Salinity_ppt,Temperature_c,Turbidity_ntu,Secchi_cm,Volume_m3,Delta_Smelt,Longfin_Smelt
20mm,914,2001,2001-06-25T07:00:00Z,3,0.158,24.60000038,NA,70,915.9318076,0,0
20mm,914,2002,2002-03-18T08:00:00Z,2,0.193,12.19999981,NA,95,1010.844288,0,2
20mm,914,2002,2002-03-18T08:00:00Z,3,0.193,12.19999981,NA,95,927.9429636,0,2
20mm,914,2002,2002-04-02T08:00:00Z,1,0.139,17.70000076,NA,132,913.1724879,0,1
20mm,914,2002,2002-04-02T08:00:00Z,2,0.139,17.70000076,NA,132,886.8372167,1,4
20mm,914,2002,2002-04-15T07:00:00Z,1,0.117,18,NA,58,940.5627932,9,4
20mm,914,2002,2002-04-15T07:00:00Z,2,0.117,18,NA,58,943.2409564,9,1
20mm,914,2002,2002-04-15T07:00:00Z,3,0.117,18,NA,58,899.7005156,0,1
20mm,914,2002,2002-04-29T07:00:00Z,1,0.169,17,NA,76,889.5965363,0,0
20mm,914,2002,2002-04-29T07:00:00Z,2,0.169,17,NA,76,848.6531022,6,0
20mm,914,2002,2002-04-29T07:00:00Z,3,0.169,17,NA,76,866.1423194,0,0
20mm,914,2002,2002-05-13T07:00:00Z,1,0.16,19.70000076,NA,68,925.9952086,0,1
20mm,914,2002,2002-05-13T07:00:00Z,2,0.16,19.70000076,NA,68,965.3155135,0,0
20mm,914,2002,2002-05-13T07:00:00Z,3,0.16,19.70000076,NA,68,903.7177603,1,0
20mm,914,2002,2002-05-28T07:00:00Z,1,0.164,21.29999924,NA,65,864.7626595,0,0
20mm,914,2002,2002-05-28T07:00:00Z,2,0.164,21.29999924,NA,65,875.8405163,0,0
20mm,914,2002,2002-05-28T07:00:00Z,3,0.164,21.29999924,NA,65,956.063677,0,0
20mm,914,2002,2002-06-10T07:00:00Z,1,0.12,22.29999924,NA,NA,907.4103793,0,0
20mm,914,2002,2002-06-10T07:00:00Z,2,0.12,22.29999924,NA,NA,1006.624152,0,0
20mm,914,2002,2002-06-10T07:00:00Z,3,0.12,22.29999924,NA,NA,984.2249687,0,0
20mm,914,2002,2002-06-24T07:00:00Z,1,0.123,23.5,NA,73,942.7134394,0,0
20mm,914,2002,2002-06-24T07:00:00Z,2,0.123,23.5,NA,73,903.7989168,0,0
20mm,914,2002,2002-06-24T07:00:00Z,3,0.123,23.5,NA,73,879.3302441,0,0
20mm,914,2003,2003-03-24T08:00:00Z,1,0.117,16.5,NA,140,971.4428262,0,0
20mm,914,2003,2003-03-24T08:00:00Z,2,0.117,16.5,NA,140,940.5222149,0,0
20mm,914,2003,2003-03-24T08:00:00Z,3,0.117,16.5,NA,140,930.2559228,0,0
20mm,914,2003,2003-04-07T07:00:00Z,1,0.103,15.69999981,NA,80,917.7578279,0,1
20mm,914,2003,2003-04-07T07:00:00Z,2,0.103,15.69999981,NA,80,904.2858556,0,0
20mm,914,2003,2003-04-07T07:00:00Z,3,0.103,15.69999981,NA,80,925.9952086,4,0
20mm,914,2003,2003-04-21T07:00:00Z,1,0.185,16.39999962,NA,89,283.1954672,0,1
20mm,914,2003,2003-04-21T07:00:00Z,2,0.185,16.39999962,NA,89,702.8555218,2,0
20mm,914,2003,2003-04-21T07:00:00Z,3,0.185,16.39999962,NA,89,818.1382733,7,0
20mm,914,2003,2003-05-05T07:00:00Z,1,0.193,16.70000076,NA,97,940.2787456,0,0
20mm,914,2003,2003-05-05T07:00:00Z,2,0.193,16.70000076,NA,97,911.1029982,0,0
20mm,914,2003,2003-05-05T07:00:00Z,3,0.193,16.70000076,NA,97,934.0702764,0,0
20mm,914,2003,2003-05-19T07:00:00Z,1,0.163,19.29999924,NA,70,910.0479642,0,0
20mm,914,2003,2003-05-19T07:00:00Z,2,0.163,19.29999924,NA,70,839.1172182,0,0
20mm,914,2003,2003-05-19T07:00:00Z,3,0.163,19.29999924,NA,70,887.3647336,0,0
20mm,914,2003,2003-06-02T07:00:00Z,1,0.1,23.70000076,NA,54,918.4070796,0,0
20mm,914,2003,2003-06-02T07:00:00Z,2,0.1,23.70000076,NA,54,960.4461259,0,0
20mm,914,2003,2003-06-02T07:00:00Z,3,0.1,23.70000076,NA,54,940.2381673,0,0
20mm,914,2003,2003-06-16T07:00:00Z,1,0.048,24.70000076,NA,68,967.0603774,0,0
20mm,914,2003,2003-06-16T07:00:00Z,2,0.048,24.70000076,NA,68,955.698473,0,0
20mm,914,2003,2003-06-16T07:00:00Z,3,0.048,24.70000076,NA,68,911.1029982,0,0
20mm,914,2003,2003-06-30T07:00:00Z,1,0.068,24.70000076,NA,78,980.6946626,0,0
20mm,914,2003,2003-06-30T07:00:00Z,2,0.068,24.70000076,NA,78,976.352792,0,0
20mm,914,2003,2003-06-30T07:00:00Z,3,0.068,24.70000076,NA,78,1017.539695,0,0
20mm,914,2004,2004-03-29T08:00:00Z,1,0.142,19,NA,100,938.8585075,1,0
20mm,914,2004,2004-03-29T08:00:00Z,2,0.142,19,NA,100,962.4750374,0,0
20mm,914,2004,2004-03-29T08:00:00Z,3,0.142,19,NA,100,928.3081677,0,0
20mm,914,2004,2004-04-12T07:00:00Z,1,0.106,20.20000076,NA,105,873.4464008,0,0
20mm,914,2004,2004-04-12T07:00:00Z,2,0.106,20.20000076,NA,105,920.6388822,0,0
20mm,914,2004,2004-04-12T07:00:00Z,3,0.106,20.20000076,NA,105,990.6769072,1,0
20mm,914,2004,2004-04-26T07:00:00Z,1,0.163,20,NA,87,81.44050761,0,0
20mm,914,2004,2004-04-26T07:00:00Z,2,0.163,20,NA,87,930.9051744,0,0
20mm,914,2004,2004-04-26T07:00:00Z,3,0.163,20,NA,87,928.4299024,0,1
20mm,914,2004,2004-05-10T07:00:00Z,1,0.165,20.70000076,NA,65,959.593983,0,0
20mm,914,2004,2004-05-10T07:00:00Z,2,0.165,20.70000076,NA,65,988.161057,0,0
20mm,914,2004,2004-05-10T07:00:00Z,3,0.165,20.70000076,NA,65,953.5478268,0,0
20mm,914,2004,2004-05-24T07:00:00Z,1,0.154,21.5,NA,85,977.0426219,0,0
20mm,914,2004,2004-05-24T07:00:00Z,2,0.154,21.5,NA,85,975.8658533,0,0
20mm,914,2004,2004-05-24T07:00:00Z,3,0.154,21.5,NA,85,956.3883029,0,0
20mm,914,2004,2004-06-08T07:00:00Z,1,0.087,22.10000038,NA,67,1029.956634,0,0
20mm,914,2004,2004-06-08T07:00:00Z,2,0.087,22.10000038,NA,67,1021.759831,0,0
20mm,914,2004,2004-06-08T07:00:00Z,3,0.087,22.10000038,NA,67,1072.198571,0,0
20mm,914,2004,2004-06-21T07:00:00Z,1,0.107,24,NA,68,887.8922506,0,0
20mm,914,2004,2004-06-21T07:00:00Z,2,0.107,24,NA,68,871.0522852,0,0
20mm,914,2004,2004-06-21T07:00:00Z,3,0.107,24,NA,68,933.29929,0,0
20mm,914,2004,2004-07-06T07:00:00Z,1,0.115,24.89999962,NA,64,934.8412627,0,0
20mm,914,2004,2004-07-06T07:00:00Z,2,0.115,24.89999962,NA,64,923.4793583,0,0
20mm,914,2004,2004-07-06T07:00:00Z,3,0.115,24.89999962,NA,64,951.8435411,0,0
20mm,914,2005,2005-03-14T08:00:00Z,1,0.221,16.39999962,NA,92,976.1093227,0,0
20mm,914,2005,2005-03-14T08:00:00Z,2,0.221,16.39999962,NA,92,982.3989483,0,0
20mm,914,2005,2005-03-14T08:00:00Z,3,0.221,16.39999962,NA,92,971.1587786,0,0
20mm,914,2005,2005-03-28T08:00:00Z,1,0.182,14.80000019,NA,60,1020.258437,1,1
20mm,914,2005,2005-03-28T08:00:00Z,2,0.182,14.80000019,NA,60,1050.570375,0,0
20mm,914,2005,2005-03-28T08:00:00Z,3,0.182,14.80000019,NA,60,1040.8316,1,0
20mm,914,2005,2005-04-11T07:00:00Z,2,0.117,15.30000019,NA,110,1111.681189,0,0
20mm,914,2005,2005-04-11T07:00:00Z,3,0.117,15.30000019,NA,110,1025.45245,0,0
20mm,914,2005,2005-04-25T07:00:00Z,1,0.116,16.79999924,NA,110,1067.369762,0,0
20mm,914,2005,2005-04-25T07:00:00Z,2,0.116,16.79999924,NA,110,1137.204896,0,0
20mm,914,2005,2005-04-25T07:00:00Z,3,0.116,16.79999924,NA,110,1104.498842,1,0
20mm,914,2005,2005-05-09T07:00:00Z,1,0.134,18.5,NA,NA,1014.212281,0,0
20mm,914,2005,2005-05-09T07:00:00Z,2,0.134,18.5,NA,NA,1064.691599,1,0
20mm,914,2005,2005-05-09T07:00:00Z,3,0.134,18.5,NA,NA,1057.346939,0,0
20mm,914,2005,2005-05-23T07:00:00Z,1,0.098,21,NA,70,964.2604795,0,0
20mm,914,2005,2005-05-23T07:00:00Z,2,0.098,21,NA,70,968.4806154,0,0
20mm,914,2005,2005-05-23T07:00:00Z,3,0.098,21,NA,70,1043.956123,0,0
20mm,914,2005,2005-06-06T07:00:00Z,1,0.033,21.10000038,NA,85,1038.965001,0,0
20mm,914,2005,2005-06-06T07:00:00Z,2,0.033,21.10000038,NA,85,1051.990613,0,0
20mm,914,2005,2005-06-06T07:00:00Z,3,0.033,21.10000038,NA,85,1020.745376,0,0
20mm,914,2005,2005-06-20T07:00:00Z,1,0.019,21.60000038,NA,75,981.9525878,0,0
20mm,914,2005,2005-06-20T07:00:00Z,2,0.019,21.60000038,NA,75,1008.612485,0,0
20mm,914,2005,2005-06-20T07:00:00Z,3,0.019,21.60000038,NA,75,1007.638607,0,0
20mm,914,2005,2005-07-05T07:00:00Z,1,0.037,24.29999924,NA,71,936.1397661,0,0
20mm,914,2005,2005-07-05T07:00:00Z,2,0.037,24.29999924,NA,71,25.44255021,0,0
20mm,914,2005,2005-07-05T07:00:00Z,3,0.037,24.29999924,NA,71,11.48363909,0,0
20mm,914,2006,2006-03-20T08:00:00Z,1,0.096,11.60000038,NA,110,847.6792247,0,0
20mm,914,2006,2006-03-20T08:00:00Z,2,0.096,11.60000038,NA,110,873.9739177,0,0
20mm,914,2006,2006-03-20T08:00:00Z,3,0.096,11.60000038,NA,110,851.8993606,0,0
20mm,914,2006,2006-04-03T07:00:00Z,1,0.087,13.30000019,NA,117,906.5176582,0,0
20mm,914,2006,2006-04-03T07:00:00Z,2,0.087,13.30000019,NA,117,924.7778617,0,0
20mm,914,2006,2006-04-03T07:00:00Z,3,0.087,13.30000019,NA,117,938.939664,0,0
20mm,914,2006,2006-04-17T07:00:00Z,1,0.054,15.19999981,NA,64,859.8121155,0,0
20mm,914,2006,2006-04-17T07:00:00Z,2,0.054,15.19999981,NA,64,935.2064668,0,0
20mm,914,2006,2006-04-17T07:00:00Z,3,0.054,15.19999981,NA,64,885.5387133,0,0
20mm,914,2006,2006-05-01T07:00:00Z,1,0.027,19.79999924,NA,77,842.8909936,0,0
20mm,914,2006,2006-05-01T07:00:00Z,2,0.027,19.79999924,NA,77,853.197864,0,0
20mm,914,2006,2006-05-01T07:00:00Z,3,0.027,19.79999924,NA,77,874.4608565,0,0
20mm,914,2006,2006-05-15T07:00:00Z,1,0.018,20.60000038,NA,75,786.6089886,0,0
20mm,914,2006,2006-05-15T07:00:00Z,2,0.018,20.60000038,NA,75,838.021606,0,0
20mm,914,2006,2006-05-15T07:00:00Z,3,0.018,20.60000038,NA,75,859.8121155,0,0
20mm,914,2006,2006-05-30T07:00:00Z,1,0.015,19,NA,72,551.9856627,0,0
20mm,914,2006,2006-05-30T07:00:00Z,2,0.015,19,NA,72,67.72506587,0,0
20mm,914,2006,2006-05-30T07:00:00Z,3,0.015,19,NA,72,920.2330999,0,0
20mm,914,2006,2006-06-12T07:00:00Z,1,0.029,22.70000076,NA,63,858.3918774,0,0
20mm,914,2006,2006-06-12T07:00:00Z,2,0.029,22.70000076,NA,63,409.9618577,0,0
20mm,914,2006,2006-06-26T07:00:00Z,1,0.033,25,NA,99,874.542013,0,0
20mm,914,2006,2006-06-26T07:00:00Z,2,0.033,25,NA,99,938.5338817,0,0
20mm,914,2006,2006-07-10T07:00:00Z,1,0.043,25.29999924,NA,84,893.8978287,0,0
20mm,914,2006,2006-07-10T07:00:00Z,3,0.043,25.29999924,NA,84,946.8524188,0,0
20mm,914,2007,2007-03-26T07:00:00Z,1,0.134,17.60000038,NA,NA,1093.583299,0,0
20mm,914,2007,2007-03-26T07:00:00Z,2,0.134,17.60000038,NA,NA,1039.573674,0,0
20mm,914,2007,2007-03-26T07:00:00Z,3,0.134,17.60000038,NA,NA,1044.605375,0,0
20mm,914,2007,2007-04-09T07:00:00Z,1,0.27,18,NA,141,883.3069106,0,0
20mm,914,2007,2007-04-09T07:00:00Z,2,0.27,18,NA,141,1059.659898,0,0
20mm,914,2007,2007-04-23T07:00:00Z,1,0.144,16.5,NA,127,1000.334526,0,0
20mm,914,2007,2007-04-23T07:00:00Z,2,0.144,16.5,NA,127,951.8435411,0,0
20mm,914,2007,2007-04-23T07:00:00Z,3,0.144,16.5,NA,127,960.5272823,0,0
20mm,914,2007,2007-05-07T07:00:00Z,1,0.189,19.39999962,NA,102,1064.082925,0,0
20mm,914,2007,2007-05-07T07:00:00Z,2,0.189,19.39999962,NA,102,963.5706496,0,0
20mm,914,2007,2007-05-07T07:00:00Z,3,0.189,19.39999962,NA,102,1058.442551,0,0
20mm,914,2007,2007-05-21T07:00:00Z,1,0.181,21.20000076,NA,120,800.6490561,0,0
20mm,914,2007,2007-05-21T07:00:00Z,2,0.181,21.20000076,NA,120,854.618102,0,0
20mm,914,2007,2007-05-21T07:00:00Z,3,0.181,21.20000076,NA,120,880.1418087,0,0
20mm,914,2007,2007-06-04T07:00:00Z,1,0.149,22.60000038,NA,120,1030.930511,0,0
20mm,914,2007,2007-06-04T07:00:00Z,2,0.149,22.60000038,NA,120,842.2823201,0,0
20mm,914,2007,2007-06-18T07:00:00Z,1,0.143,25.20000076,NA,132,856.8499047,0,0
20mm,914,2007,2007-06-18T07:00:00Z,2,0.143,25.20000076,NA,132,974.2427241,0,0
20mm,914,2007,2007-06-18T07:00:00Z,3,0.143,25.20000076,NA,132,928.1458548,0,0
20mm,914,2007,2007-07-02T07:00:00Z,1,0.134,24.70000076,NA,102,949.4900038,0,0
20mm,914,2007,2007-07-02T07:00:00Z,2,0.134,24.70000076,NA,102,891.8689172,0,0
20mm,914,2007,2007-07-02T07:00:00Z,3,0.134,24.70000076,NA,102,888.9067064,0,0
20mm,914,2008,2008-03-03T08:00:00Z,1,0.158,12.10000038,NA,81,925.5082698,0,0
20mm,914,2008,2008-03-17T07:00:00Z,1,0.204,13.69999981,NA,NA,949.8957861,0,0
20mm,914,2008,2008-03-17T07:00:00Z,2,0.204,13.69999981,NA,NA,951.113133,0,0
20mm,914,2008,2008-03-17T07:00:00Z,3,0.204,13.69999981,NA,NA,965.0720441,0,0
20mm,914,2008,2008-04-01T07:00:00Z,1,0.233,15.80000019,NA,127,885.3764004,0,0
20mm,914,2008,2008-04-01T07:00:00Z,2,0.233,15.80000019,NA,127,915.7289164,0,0
20mm,914,2008,2008-04-01T07:00:00Z,3,0.233,15.80000019,NA,127,912.0362975,0,0
20mm,914,2008,2008-04-14T07:00:00Z,1,0.213,17.60000038,NA,95,966.5328604,0,1
20mm,914,2008,2008-04-14T07:00:00Z,2,0.213,17.60000038,NA,95,939.9541197,0,0
20mm,914,2008,2008-04-14T07:00:00Z,3,0.213,17.60000038,NA,95,1034.582552,0,0
20mm,914,2008,2008-04-28T07:00:00Z,1,0.21,19.10000038,NA,120,969.2516018,0,0
20mm,914,2008,2008-04-28T07:00:00Z,2,0.21,19.10000038,NA,120,937.0324872,0,0
20mm,914,2008,2008-04-28T07:00:00Z,3,0.21,19.10000038,NA,120,931.1080656,0,0
20mm,914,2008,2008-05-12T07:00:00Z,1,0.199,20.10000038,NA,95,1017.539695,1,0
20mm,914,2008,2008-05-12T07:00:00Z,2,0.199,20.10000038,NA,95,997.8998322,0,0
20mm,914,2008,2008-05-27T07:00:00Z,1,0.182,19.5,NA,78,905.422046,0,0
20mm,914,2008,2008-05-27T07:00:00Z,2,0.182,19.5,NA,78,999.5635396,0,0
20mm,914,2008,2008-05-27T07:00:00Z,3,0.182,19.5,NA,78,942.2670788,0,0
20mm,914,2008,2008-06-10T07:00:00Z,1,0.204,21.89999962,NA,92,968.6835066,0,0
20mm,914,2008,2008-06-10T07:00:00Z,2,0.204,21.89999962,NA,92,985.1176897,0,0
20mm,914,2008,2008-06-10T07:00:00Z,3,0.204,21.89999962,NA,92,1009.464628,0,0
20mm,914,2008,2008-06-23T07:00:00Z,1,0.258,24.5,NA,50,949.1247997,0,0
20mm,914,2008,2008-06-23T07:00:00Z,2,0.258,24.5,NA,50,923.763406,0,0
20mm,914,2008,2008-06-23T07:00:00Z,3,0.258,24.5,NA,50,946.9741535,0,0
20mm,914,2008,2008-07-07T07:00:00Z,1,0.098,25.20000076,NA,88,976.4339485,0,0
20mm,914,2008,2008-07-07T07:00:00Z,2,0.098,25.20000076,NA,88,1017.539695,0,0
20mm,914,2008,2008-07-07T07:00:00Z,3,0.098,25.20000076,NA,88,857.255687,0,0
20mm,914,2009,2009-03-10T07:00:00Z,1,0.27,12.69999981,NA,135,950.585616,0,0
20mm,914,2009,2009-03-10T07:00:00Z,2,0.27,12.69999981,NA,135,941.2120449,0,0
20mm,914,2009,2009-03-10T07:00:00Z,3,0.27,12.69999981,NA,135,944.0119427,0,1
20mm,914,2009,2009-03-23T07:00:00Z,1,0.151,14.10000038,NA,135,901.7700053,0,0
20mm,914,2009,2009-03-23T07:00:00Z,2,0.151,14.10000038,NA,135,847.029973,0,0
20mm,914,2009,2009-03-23T07:00:00Z,3,0.151,14.10000038,NA,135,918.650549,0,0
20mm,914,2009,2009-04-06T07:00:00Z,2,0.092,15.80000019,NA,200,1032.229015,0,0
20mm,914,2009,2009-04-06T07:00:00Z,3,0.092,15.80000019,NA,200,1003.093846,1,0
20mm,914,2009,2009-04-20T07:00:00Z,1,0.145,19.60000038,NA,140,944.4988815,1,0
20mm,914,2009,2009-04-20T07:00:00Z,2,0.145,19.60000038,NA,140,976.4745267,0,0
20mm,914,2009,2009-04-20T07:00:00Z,3,0.145,19.60000038,NA,140,929.8095622,0,0
20mm,914,2009,2009-05-04T07:00:00Z,1,0.167,18.39999962,NA,135,1006.542995,0,0
20mm,914,2009,2009-05-04T07:00:00Z,3,0.167,18.39999962,NA,135,991.8536759,0,0
20mm,914,2009,2009-05-18T07:00:00Z,1,0.219,22.79999924,NA,52,938.2092558,0,0
20mm,914,2009,2009-05-18T07:00:00Z,2,0.219,22.79999924,NA,52,901.2424883,0,0
20mm,914,2009,2009-05-18T07:00:00Z,3,0.219,22.79999924,NA,52,977.7324519,0,0
20mm,914,2009,2009-06-01T07:00:00Z,1,0.184,22.70000076,NA,142,918.1636102,0,0
20mm,914,2009,2009-06-01T07:00:00Z,2,0.184,22.70000076,NA,142,927.6183378,0,0
20mm,914,2009,2009-06-01T07:00:00Z,3,0.184,22.70000076,NA,142,940.6033714,0,0
20mm,914,2009,2009-06-16T07:00:00Z,1,0.12,23.10000038,NA,180,1021.11058,0,0
20mm,914,2009,2009-06-16T07:00:00Z,2,0.12,23.10000038,NA,180,1030.930511,0,0
20mm,914,2009,2009-06-16T07:00:00Z,3,0.12,23.10000038,NA,180,1036.895511,0,0
20mm,914,2009,2009-06-29T07:00:00Z,1,0.243,26.5,NA,170,1217.590369,0,0
20mm,914,2009,2009-06-29T07:00:00Z,2,0.243,26.5,NA,170,1017.9049,0,0
20mm,914,2009,2009-06-29T07:00:00Z,3,0.243,26.5,NA,170,994.9376214,0,0
20mm,914,2010,2010-03-15T07:00:00Z,1,NA,NA,NA,147,979.2338464,0,0
20mm,914,2010,2010-03-15T07:00:00Z,2,NA,NA,NA,147,949.003065,0,0
20mm,914,2010,2010-03-15T07:00:00Z,3,NA,NA,NA,147,983.4539823,0,0
20mm,914,2010,2010-03-29T07:00:00Z,1,0.195,16,NA,200,926.8067732,0,0
20mm,914,2010,2010-03-29T07:00:00Z,2,0.195,16,NA,200,926.4821474,0,0
20mm,914,2010,2010-03-29T07:00:00Z,3,0.195,16,NA,200,908.1407874,0,0
20mm,914,2010,2010-04-12T07:00:00Z,1,0.176,14.10000038,NA,190,962.3938809,0,0
20mm,914,2010,2010-04-12T07:00:00Z,2,0.176,14.10000038,NA,190,962.4750374,0,0
20mm,914,2010,2010-04-12T07:00:00Z,3,0.176,14.10000038,NA,190,960.6895953,0,0
20mm,914,2010,2010-04-26T07:00:00Z,1,0.234,19.10000038,NA,100,933.4616029,0,0
20mm,914,2010,2010-04-26T07:00:00Z,2,0.234,19.10000038,NA,100,927.5777596,0,0
20mm,914,2010,2010-05-10T07:00:00Z,1,0.195,17.5,NA,200,953.1014662,0,0
20mm,914,2010,2010-05-10T07:00:00Z,2,0.195,17.5,NA,200,965.4778264,0,0
20mm,914,2010,2010-05-10T07:00:00Z,3,0.195,17.5,NA,200,946.2843236,0,0
20mm,914,2010,2010-05-24T07:00:00Z,1,0.17,17.5,NA,85,902.6221481,0,0
20mm,914,2010,2010-05-24T07:00:00Z,2,0.17,17.5,NA,85,339.802098,0,0
20mm,914,2010,2010-05-24T07:00:00Z,3,0.17,17.5,NA,85,299.7108068,0,0
20mm,914,2010,2010-06-07T07:00:00Z,1,0.081,22.60000038,NA,127,956.9969763,0,0
20mm,914,2010,2010-06-07T07:00:00Z,2,0.081,22.60000038,NA,127,979.8425198,0,0
20mm,914,2010,2010-06-07T07:00:00Z,3,0.081,22.60000038,NA,127,981.9120095,0,0
20mm,914,2010,2010-06-21T07:00:00Z,1,NA,19,NA,175,980.4511933,0,0
20mm,914,2010,2010-06-21T07:00:00Z,2,NA,19,NA,175,974.4861935,0,0
20mm,914,2010,2010-06-21T07:00:00Z,3,NA,19,NA,175,949.003065,0,0
20mm,914,2010,2010-07-06T07:00:00Z,1,0.035,23.60000038,NA,121,936.6672831,0,0
20mm,914,2010,2010-07-06T07:00:00Z,2,0.035,23.60000038,NA,121,946.7306841,0,0
20mm,914,2010,2010-07-06T07:00:00Z,3,0.035,23.60000038,NA,121,924.3315012,0,0
20mm,914,2011,2011-03-14T07:00:00Z,1,0.093,14.80000019,4.269999981,158,932.244256,0,0
20mm,914,2011,2011-03-14T07:00:00Z,2,0.093,14.80000019,4.269999981,158,954.5622825,0,0
20mm,914,2011,2011-03-14T07:00:00Z,3,0.093,14.80000019,4.269999981,158,939.5077592,0,0
20mm,914,2011,2011-03-28T07:00:00Z,1,0.075,12,10.69999981,83,916.540481,0,0
20mm,914,2011,2011-03-28T07:00:00Z,2,0.075,12,10.69999981,83,873.5275572,0,0
20mm,914,2011,2011-03-28T07:00:00Z,3,0.075,12,10.69999981,83,894.5470804,0,0
20mm,914,2011,2011-04-11T07:00:00Z,1,0.041,15.5,4.400000095,83,920.9229299,0,0
20mm,914,2011,2011-04-11T07:00:00Z,2,0.041,15.5,4.400000095,83,938.6556164,0,0
20mm,914,2011,2011-04-11T07:00:00Z,3,0.041,15.5,4.400000095,83,958.9041531,0,0
20mm,914,2011,2011-04-25T07:00:00Z,1,0.034,17.20000076,4.699999809,170,908.8711955,0,0
20mm,914,2011,2011-04-25T07:00:00Z,2,0.034,17.20000076,4.699999809,170,899.2135768,0,0
20mm,914,2011,2011-04-25T07:00:00Z,3,0.034,17.20000076,4.699999809,170,911.2247329,0,0
20mm,914,2011,2011-05-09T07:00:00Z,1,0.041,18.39999962,5.099999905,110,863.0177956,0,0
20mm,914,2011,2011-05-09T07:00:00Z,3,0.041,18.39999962,5.099999905,110,996.7230635,0,0
20mm,914,2011,2011-05-23T07:00:00Z,1,0.06,18.29999924,4.300000191,150,972.2138126,0,0
20mm,914,2011,2011-05-23T07:00:00Z,2,0.06,18.29999924,4.300000191,150,993.4768051,0,0
20mm,914,2011,2011-05-23T07:00:00Z,3,0.06,18.29999924,4.300000191,150,923.6416713,0,0
20mm,914,2011,2011-06-06T07:00:00Z,1,0.05,16.89999962,7.400000095,68,987.2683359,0,0
20mm,914,2011,2011-06-06T07:00:00Z,2,0.05,16.89999962,7.400000095,68,987.0248665,0,0
20mm,914,2011,2011-06-06T07:00:00Z,3,0.05,16.89999962,7.400000095,68,964.0575883,0,0
20mm,914,2011,2011-06-20T07:00:00Z,1,0.044,21.89999962,5.099999905,122,990.8797984,0,0
20mm,914,2011,2011-06-20T07:00:00Z,2,0.044,21.89999962,5.099999905,122,956.8752416,0,0
20mm,914,2011,2011-06-20T07:00:00Z,3,0.044,21.89999962,5.099999905,122,954.643439,0,0
20mm,914,2011,2011-07-05T07:00:00Z,1,0.025,24.70000076,7.699999809,100,1002.890954,0,0
20mm,914,2011,2011-07-05T07:00:00Z,2,0.025,24.70000076,7.699999809,100,882.0489855,0,0
20mm,914,2011,2011-07-05T07:00:00Z,3,0.025,24.70000076,7.699999809,100,1006.218369,0,0
20mm,914,2012,2012-03-12T07:00:00Z,1,0.216,12.69999981,3.200000048,165,934.0702764,0,0
20mm,914,2012,2012-03-12T07:00:00Z,2,0.216,12.69999981,3.200000048,165,911.1841547,0,3
20mm,914,2012,2012-03-12T07:00:00Z,3,0.216,12.69999981,3.200000048,165,915.485447,0,0
20mm,914,2012,2012-03-26T07:00:00Z,1,0.217,13.69999981,3.099999905,72,895.723849,0,0
20mm,914,2012,2012-03-26T07:00:00Z,2,0.217,13.69999981,3.099999905,72,954.5622825,0,0
20mm,914,2012,2012-03-26T07:00:00Z,3,0.217,13.69999981,3.099999905,72,924.3720794,0,0
20mm,914,2012,2012-04-09T07:00:00Z,1,0.245,15.80000019,2.779999971,140,507.6742355,2,0
20mm,914,2012,2012-04-09T07:00:00Z,2,0.245,15.80000019,2.779999971,140,516.0739291,0,0
20mm,914,2012,2012-04-09T07:00:00Z,3,0.245,15.80000019,2.779999971,140,512.9899837,0,0
20mm,914,2012,2012-04-23T07:00:00Z,1,0.223,20.39999962,3.700000048,190,952.8985751,0,0
20mm,914,2012,2012-04-23T07:00:00Z,2,0.223,20.39999962,3.700000048,190,974.4456152,0,0
20mm,914,2012,2012-04-23T07:00:00Z,3,0.223,20.39999962,3.700000048,190,956.1448335,0,0
20mm,914,2012,2012-05-07T07:00:00Z,1,0.196,20,3.799999952,151,968.6429283,0,0
20mm,914,2012,2012-05-07T07:00:00Z,2,0.196,20,3.799999952,151,953.8724526,0,0
20mm,914,2012,2012-05-07T07:00:00Z,3,0.196,20,3.799999952,151,995.4245601,0,0
20mm,914,2012,2012-05-21T07:00:00Z,1,0.127,22.60000038,5.599999905,120,982.520683,0,0
20mm,914,2012,2012-05-21T07:00:00Z,2,0.127,22.60000038,5.599999905,120,1018.554151,0,0
20mm,914,2012,2012-05-21T07:00:00Z,3,0.127,22.60000038,5.599999905,120,1009.099424,0,0
20mm,914,2012,2012-06-04T07:00:00Z,1,0.122,21.79999924,5.900000095,124,912.0768757,1,0
20mm,914,2012,2012-06-04T07:00:00Z,2,0.122,21.79999924,5.900000095,124,979.6396287,0,0
20mm,914,2012,2012-06-04T07:00:00Z,3,0.122,21.79999924,5.900000095,124,1017.986056,0,0
20mm,914,2012,2012-06-18T07:00:00Z,1,0.097,23.89999962,4.699999809,140,970.1443228,0,0
20mm,914,2012,2012-06-18T07:00:00Z,2,0.097,23.89999962,4.699999809,140,936.2615008,0,0
20mm,914,2012,2012-06-18T07:00:00Z,3,0.097,23.89999962,4.699999809,140,936.7484396,0,0
20mm,914,2012,2012-07-09T07:00:00Z,1,0.079,24.60000038,3.900000095,166,929.1603105,0,0
20mm,914,2012,2012-07-09T07:00:00Z,2,0.079,24.60000038,3.900000095,166,932.7311948,0,0
20mm,914,2013,2013-03-11T07:00:00Z,1,0.182,14.10000038,2.400000095,200,889.190754,0,0
