SurveySeason,Review_Region,Review_Stratum,SubRegion,StationCode,Year,Station_Surveys,Station_Tows,Station_Volume,Subregion_Surveys,Subregion_Tows,Subregion_Volume,Strata_Surveys,Strata_Tows,Strata_Volume,Region_Surveys,Region_Tows,Region_Volume
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,414,2017,4,4,24.898183849,40,40,207.85598512139998,112,112,602.1386673456,124,124,665.893430202
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,414,2018,4,4,21.5106621499,40,40,200.2812899241,112,112,615.4193281313,124,124,684.0338231188
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,414,2019,4,4,22.670602947299997,40,40,219.7636371546,114,114,617.3196872612,126,126,681.7277434968
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,414,2020,4,4,22.681241968000002,38,38,199.95148028239998,110,110,605.2291590884,122,122,675.2088992187
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,415,2002,4,4,15.5970918873,40,40,181.70901027509998,112,112,520.4574421508,124,124,576.2542175236
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,415,2003,4,4,21.1719387341,39,39,223.7866246847,111,111,628.4742691535,123,123,703.3088532162
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,415,2004,4,4,20.019186464199997,38,38,197.1203506118,109,109,575.2990059894,121,121,635.1414846392
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,415,2005,4,4,21.0943026371,40,40,209.7431173607,112,112,620.7765063654,124,124,686.4083375225999
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,415,2006,4,4,21.088839356199998,40,40,211.2366058341,112,112,621.0387438486,124,124,684.1353251271
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,415,2007,4,4,23.674408927400002,40,40,226.2126089454,111,111,637.0087765426,123,123,700.7799292417
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,415,2008,4,4,19.5985138349,40,40,210.5562835915,112,112,621.8858399292,124,124,689.9821858545
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,415,2009,4,4,21.8298327709,40,40,206.5591747604,112,112,579.9959898579,124,124,641.3584107623
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,415,2010,4,4,22.0909200897,38,38,199.48336337159998,110,110,578.9470399251,121,121,636.9291276579
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,415,2011,4,4,20.5985817807,40,40,210.8561889588,112,112,614.7286544090999,124,124,680.1948618927
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,415,2012,4,4,19.2925701045,40,40,197.5223330696,111,111,590.5510485566999,123,123,651.3211347951
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,415,2013,4,4,17.1791430195,40,40,187.7214946761,112,112,542.8425167858,124,124,597.7344003169
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,415,2014,4,4,21.4982978826,40,40,198.1451470922,111,111,570.6356644296,123,123,632.4012179562
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,415,2015,4,4,20.4389964702,40,40,186.53423747419998,112,112,559.9667394552,124,124,621.2742400095
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,415,2016,4,4,20.0649054991,39,39,196.548718905,110,110,551.7790066327,122,122,608.0976691019999
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,415,2017,4,4,19.213496302,40,40,207.85598512139998,112,112,602.1386673456,124,124,665.893430202
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,415,2018,4,4,22.1513037207,40,40,200.2812899241,112,112,615.4193281313,124,124,684.0338231188
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,415,2019,4,4,20.912576661899998,40,40,219.7636371546,114,114,617.3196872612,126,126,681.7277434968
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,415,2020,4,4,22.4374071152,38,38,199.95148028239998,110,110,605.2291590884,122,122,675.2088992187
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,409,2002,4,4,20.1330527398,40,40,181.70901027509998,112,112,520.4574421508,124,124,576.2542175236
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,409,2003,4,4,22.7332869071,39,39,223.7866246847,111,111,628.4742691535,123,123,703.3088532162
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,409,2004,3,3,16.8591097752,38,38,197.1203506118,109,109,575.2990059894,121,121,635.1414846392
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,409,2005,4,4,20.5709778351,40,40,209.7431173607,112,112,620.7765063654,124,124,686.4083375225999
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,409,2006,4,4,20.9051005933,40,40,211.2366058341,112,112,621.0387438486,124,124,684.1353251271
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,409,2007,4,4,19.6013892459,40,40,226.2126089454,111,111,637.0087765426,123,123,700.7799292417
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,409,2008,4,4,22.0052328419,40,40,210.5562835915,112,112,621.8858399292,124,124,689.9821858545
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,409,2009,4,4,21.186028248,40,40,206.5591747604,112,112,579.9959898579,124,124,641.3584107623
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,409,2010,4,4,22.7246606741,38,38,199.48336337159998,110,110,578.9470399251,121,121,636.9291276579
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,409,2011,4,4,22.121974528499997,40,40,210.8561889588,112,112,614.7286544090999,124,124,680.1948618927
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,409,2012,4,4,19.8043932625,40,40,197.5223330696,111,111,590.5510485566999,123,123,651.3211347951
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,409,2013,4,4,22.0391626917,40,40,187.7214946761,112,112,542.8425167858,124,124,597.7344003169
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,409,2014,4,4,19.9999212105,40,40,198.1451470922,111,111,570.6356644296,123,123,632.4012179562
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,409,2015,4,4,17.9966223668,40,40,186.53423747419998,112,112,559.9667394552,124,124,621.2742400095
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,409,2016,3,3,16.0364546881,39,39,196.548718905,110,110,551.7790066327,122,122,608.0976691019999
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,409,2017,4,4,18.572279649,40,40,207.85598512139998,112,112,602.1386673456,124,124,665.893430202
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,409,2018,4,4,18.0138748328,40,40,200.2812899241,112,112,615.4193281313,124,124,684.0338231188
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,409,2019,4,4,24.1324618997,40,40,219.7636371546,114,114,617.3196872612,126,126,681.7277434968
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,409,2020,4,4,18.9311309418,38,38,199.95148028239998,110,110,605.2291590884,122,122,675.2088992187
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,410,2002,4,4,18.044929271599997,40,40,181.70901027509998,112,112,520.4574421508,124,124,576.2542175236
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,410,2003,4,4,22.995524390299998,39,39,223.7866246847,111,111,628.4742691535,123,123,703.3088532162
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,410,2004,4,4,20.1324776576,38,38,197.1203506118,109,109,575.2990059894,121,121,635.1414846392
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,410,2005,4,4,20.915164531800002,40,40,209.7431173607,112,112,620.7765063654,124,124,686.4083375225999
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,410,2006,4,4,20.786921201200002,40,40,211.2366058341,112,112,621.0387438486,124,124,684.1353251271
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,410,2007,4,4,23.3747911012,40,40,226.2126089454,111,111,637.0087765426,123,123,700.7799292417
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,410,2008,4,4,23.6163256252,40,40,210.5562835915,112,112,621.8858399292,124,124,689.9821858545
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,410,2009,4,4,19.6031144925,40,40,206.5591747604,112,112,579.9959898579,124,124,641.3584107623
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,410,2010,4,4,20.2937882147,38,38,199.48336337159998,110,110,578.9470399251,121,121,636.9291276579
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,410,2011,4,4,21.7521966739,40,40,210.8561889588,112,112,614.7286544090999,124,124,680.1948618927
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,410,2012,4,4,22.578589795299997,40,40,197.5223330696,111,111,590.5510485566999,123,123,651.3211347951
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,410,2013,4,4,19.7845529266,40,40,187.7214946761,112,112,542.8425167858,124,124,597.7344003169
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,410,2014,4,4,19.8409109822,40,40,198.1451470922,111,111,570.6356644296,123,123,632.4012179562
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,410,2015,4,4,19.4124747432,40,40,186.53423747419998,112,112,559.9667394552,124,124,621.2742400095
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,410,2016,4,4,20.251807214099998,39,39,196.548718905,110,110,551.7790066327,122,122,608.0976691019999
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,410,2017,4,4,20.828902201800002,40,40,207.85598512139998,112,112,602.1386673456,124,124,665.893430202
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,410,2018,4,4,16.3199702127,40,40,200.2812899241,112,112,615.4193281313,124,124,684.0338231188
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,410,2019,4,4,24.6043168448,40,40,219.7636371546,114,114,617.3196872612,126,126,681.7277434968
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,410,2020,4,4,16.5143479963,38,38,199.95148028239998,110,110,605.2291590884,122,122,675.2088992187
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,416,2002,4,4,15.6370601002,40,40,181.70901027509998,112,112,520.4574421508,124,124,576.2542175236
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,416,2003,4,4,21.8807275456,39,39,223.7866246847,111,111,628.4742691535,123,123,703.3088532162
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,416,2004,4,4,23.6485302284,38,38,197.1203506118,109,109,575.2990059894,121,121,635.1414846392
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,416,2005,4,4,20.7400520019,40,40,209.7431173607,112,112,620.7765063654,124,124,686.4083375225999
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,416,2006,4,4,22.4558097456,40,40,211.2366058341,112,112,621.0387438486,124,124,684.1353251271
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,416,2007,4,4,24.0597140014,40,40,226.2126089454,111,111,637.0087765426,123,123,700.7799292417
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,416,2008,4,4,18.8813863315,40,40,210.5562835915,112,112,621.8858399292,124,124,689.9821858545
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,416,2009,4,4,20.752128728099997,40,40,206.5591747604,112,112,579.9959898579,124,124,641.3584107623
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,416,2010,4,4,22.887408936699998,38,38,199.48336337159998,110,110,578.9470399251,121,121,636.9291276579
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,416,2011,4,4,18.8629837011,40,40,210.8561889588,112,112,614.7286544090999,124,124,680.1948618927
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,416,2012,4,4,18.0742584638,40,40,197.5223330696,111,111,590.5510485566999,123,123,651.3211347951
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,416,2013,4,4,18.299403145099998,40,40,187.7214946761,112,112,542.8425167858,124,124,597.7344003169
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,416,2014,4,4,19.7782270224,40,40,198.1451470922,111,111,570.6356644296,123,123,632.4012179562
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,416,2015,4,4,18.6947721576,40,40,186.53423747419998,112,112,559.9667394552,124,124,621.2742400095
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,416,2016,4,4,18.965348332699996,39,39,196.548718905,110,110,551.7790066327,122,122,608.0976691019999
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,416,2017,4,4,19.405573756800003,40,40,207.85598512139998,112,112,602.1386673456,124,124,665.893430202
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,416,2018,4,4,22.561049788200002,40,40,200.2812899241,112,112,615.4193281313,124,124,684.0338231188
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,416,2019,4,4,19.541005614899998,40,40,219.7636371546,114,114,617.3196872612,126,126,681.7277434968
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,416,2020,4,4,23.6335780912,38,38,199.95148028239998,110,110,605.2291590884,122,122,675.2088992187
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,417,2002,4,4,18.8687345231,40,40,181.70901027509998,112,112,520.4574421508,124,124,576.2542175236
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,417,2003,4,4,23.4711173697,39,39,223.7866246847,111,111,628.4742691535,123,123,703.3088532162
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,417,2004,4,4,23.937796575,38,38,197.1203506118,109,109,575.2990059894,121,121,635.1414846392
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,417,2005,4,4,20.09912289,40,40,209.7431173607,112,112,620.7765063654,124,124,686.4083375225999
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,417,2006,4,4,24.3679580606,40,40,211.2366058341,112,112,621.0387438486,124,124,684.1353251271
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,417,2007,4,4,23.9501608423,40,40,226.2126089454,111,111,637.0087765426,123,123,700.7799292417
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,417,2008,4,4,21.1293826513,40,40,210.5562835915,112,112,621.8858399292,124,124,689.9821858545
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,417,2009,4,4,23.5806705288,40,40,206.5591747604,112,112,579.9959898579,124,124,641.3584107623
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,417,2010,3,3,16.978151790600002,38,38,199.48336337159998,110,110,578.9470399251,121,121,636.9291276579
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,417,2011,4,4,19.0490227928,40,40,210.8561889588,112,112,614.7286544090999,124,124,680.1948618927
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,417,2012,4,4,17.6535858345,40,40,197.5223330696,111,111,590.5510485566999,123,123,651.3211347951
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,417,2013,4,4,19.843498852099998,40,40,187.7214946761,112,112,542.8425167858,124,124,597.7344003169
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,417,2014,4,4,19.0133676964,40,40,198.1451470922,111,111,570.6356644296,123,123,632.4012179562
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,417,2015,4,4,19.376819646799998,40,40,186.53423747419998,112,112,559.9667394552,124,124,621.2742400095
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,417,2016,4,4,20.6566650829,39,39,196.548718905,110,110,551.7790066327,122,122,608.0976691019999
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,417,2017,4,4,21.610151370500002,40,40,207.85598512139998,112,112,602.1386673456,124,124,665.893430202
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,417,2018,4,4,22.367822169,40,40,200.2812899241,112,112,615.4193281313,124,124,684.0338231188
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,417,2019,4,4,22.3844995528,40,40,219.7636371546,114,114,617.3196872612,126,126,681.7277434968
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,417,2020,4,4,23.814153902,38,38,199.95148028239998,110,110,605.2291590884,122,122,675.2088992187
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418.1,2002,4,4,18.768382679200002,40,40,181.70901027509998,112,112,520.4574421508,124,124,576.2542175236
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418.1,2003,4,4,22.9466424033,39,39,223.7866246847,111,111,628.4742691535,123,123,703.3088532162
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418.1,2004,4,4,21.3502142161,38,38,197.1203506118,109,109,575.2990059894,121,121,635.1414846392
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418.1,2005,4,4,26.4727589126,40,40,209.7431173607,112,112,620.7765063654,124,124,686.4083375225999
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418.1,2006,4,4,23.265525483199998,40,40,211.2366058341,112,112,621.0387438486,124,124,684.1353251271
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418.1,2007,4,4,22.448621218099998,40,40,226.2126089454,111,111,637.0087765426,123,123,700.7799292417
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418.1,2008,4,4,19.613178430999998,40,40,210.5562835915,112,112,621.8858399292,124,124,689.9821858545
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418.1,2009,4,4,21.4330260529,40,40,206.5591747604,112,112,579.9959898579,124,124,641.3584107623
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418.1,2010,3,3,13.0989348105,38,38,199.48336337159998,110,110,578.9470399251,121,121,636.9291276579
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418.1,2011,4,4,21.3309489624,40,40,210.8561889588,112,112,614.7286544090999,124,124,680.1948618927
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418.1,2012,4,4,18.0308397577,40,40,197.5223330696,111,111,590.5510485566999,123,123,651.3211347951
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418.1,2013,4,4,15.7276355467,40,40,187.7214946761,112,112,542.8425167858,124,124,597.7344003169
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418.1,2014,4,4,20.30040166,40,40,198.1451470922,111,111,570.6356644296,123,123,632.4012179562
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418.1,2015,4,4,18.4825668258,40,40,186.53423747419998,112,112,559.9667394552,124,124,621.2742400095
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418.1,2016,4,4,19.236787131099998,39,39,196.548718905,110,110,551.7790066327,122,122,608.0976691019999
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418.1,2017,4,4,20.6146840823,40,40,207.85598512139998,112,112,602.1386673456,124,124,665.893430202
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418.1,2018,4,4,23.6767092562,40,40,200.2812899241,112,112,615.4193281313,124,124,684.0338231188
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418.1,2019,4,4,24.98732159,40,40,219.7636371546,114,114,617.3196872612,126,126,681.7277434968
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,418.1,2020,3,3,18.8506194338,38,38,199.95148028239998,110,110,605.2291590884,122,122,675.2088992187
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,401.1,2002,4,4,19.082952642600002,40,40,181.70901027509998,112,112,520.4574421508,124,124,576.2542175236
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,401.1,2003,4,4,25.7570691147,39,39,223.7866246847,111,111,628.4742691535,123,123,703.3088532162
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,401.1,2004,4,4,20.8674327092,38,38,197.1203506118,109,109,575.2990059894,121,121,635.1414846392
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,401.1,2005,4,4,20.2794111597,40,40,209.7431173607,112,112,620.7765063654,124,124,686.4083375225999
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,401.1,2006,4,4,20.2204652342,40,40,211.2366058341,112,112,621.0387438486,124,124,684.1353251271
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,401.1,2007,4,4,25.0163632411,40,40,226.2126089454,111,111,637.0087765426,123,123,700.7799292417
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,401.1,2008,4,4,22.2735086882,40,40,210.5562835915,112,112,621.8858399292,124,124,689.9821858545
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,401.1,2009,4,4,18.5429504568,40,40,206.5591747604,112,112,579.9959898579,124,124,641.3584107623
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,401.1,2010,4,4,20.6664414803,38,38,199.48336337159998,110,110,578.9470399251,121,121,636.9291276579
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,401.1,2011,4,4,24.1977337294,40,40,210.8561889588,112,112,614.7286544090999,124,124,680.1948618927
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,401.1,2012,4,4,22.0526771234,40,40,197.5223330696,111,111,590.5510485566999,123,123,651.3211347951
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,401.1,2013,4,4,16.2308324717,40,40,187.7214946761,112,112,542.8425167858,124,124,597.7344003169
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,401.1,2014,4,4,19.7465975014,40,40,198.1451470922,111,111,570.6356644296,123,123,632.4012179562
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,401.1,2015,4,4,17.7099438901,40,40,186.53423747419998,112,112,559.9667394552,124,124,621.2742400095
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,401.1,2016,4,4,19.1772661234,39,39,196.548718905,110,110,551.7790066327,122,122,608.0976691019999
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,401.1,2017,4,4,19.8961188734,40,40,207.85598512139998,112,112,602.1386673456,124,124,665.893430202
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,401.1,2018,4,4,17.7703275211,40,40,200.2812899241,112,112,615.4193281313,124,124,684.0338231188
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,401.1,2019,4,4,19.1318346296,40,40,219.7636371546,114,114,617.3196872612,126,126,681.7277434968
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,401.1,2020,4,4,19.2733048508,38,38,199.95148028239998,110,110,605.2291590884,122,122,675.2088992187
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,412,2002,4,4,19.0277447514,40,40,181.70901027509998,112,112,520.4574421508,124,124,576.2542175236
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,412,2003,3,3,19.8613264003,39,39,223.7866246847,111,111,628.4742691535,123,123,703.3088532162
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,412,2004,4,4,19.5921879307,38,38,197.1203506118,109,109,575.2990059894,121,121,635.1414846392
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,412,2005,4,4,21.047145896700002,40,40,209.7431173607,112,112,620.7765063654,124,124,686.4083375225999
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,412,2006,4,4,18.3813523586,40,40,211.2366058341,112,112,621.0387438486,124,124,684.1353251271
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,412,2007,4,4,22.4509215469,40,40,226.2126089454,111,111,637.0087765426,123,123,700.7799292417
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,412,2008,4,4,21.7148163309,40,40,210.5562835915,112,112,621.8858399292,124,124,689.9821858545
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,412,2009,4,4,18.7864977685,40,40,206.5591747604,112,112,579.9959898579,124,124,641.3584107623
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,412,2010,4,4,19.338864221599998,38,38,199.48336337159998,110,110,578.9470399251,121,121,636.9291276579
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,412,2011,4,4,21.6282664598,40,40,210.8561889588,112,112,614.7286544090999,124,124,680.1948618927
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,412,2012,4,4,21.4514286833,40,40,197.5223330696,111,111,590.5510485566999,123,123,651.3211347951
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,412,2013,4,4,22.592104227,40,40,187.7214946761,112,112,542.8425167858,124,124,597.7344003169
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,412,2014,4,4,19.4556059082,40,40,198.1451470922,111,111,570.6356644296,123,123,632.4012179562
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,412,2015,4,4,21.052609177599997,40,40,186.53423747419998,112,112,559.9667394552,124,124,621.2742400095
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,412,2016,4,4,22.9636073282,39,39,196.548718905,110,110,551.7790066327,122,122,608.0976691019999
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,412,2017,4,4,23.1574100296,40,40,207.85598512139998,112,112,602.1386673456,124,124,665.893430202
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,412,2018,4,4,17.5075149557,40,40,200.2812899241,112,112,615.4193281313,124,124,684.0338231188
FMWT,Suisun Bay and Marsh,Suisun and Honker Bays,West Suisun Bay,412,2019,4,4,19.0311952446,40,40,219.7636371546,114,114,617.3196872612,126,126,681.7277434968
